Time,Amps,Volts,Torque 10V (N · m)
0.001,81.5,10.001,0.663
0.365,93.01,10.001,0.648
0.767,88.37,10.001,0.633
1.171,84.43,10.001,0.621
1.552,81.18,10.001,0.609
1.932,78.04,10.001,0.597
2.282,75.52,10.001,0.586
2.631,73.24,10.001,0.576
2.98,71.17,10.001,0.566
3.329,69.3,10.001,0.558
3.705,67.67,10.001,0.549
4.054,66.06,10.001,0.541
4.403,64.67,10.001,0.533
4.751,63.34,10.001,0.527
5.101,62.12,10.001,0.52
5.45,60.97,10.001,0.514
5.826,59.89,10.001,0.508
6.177,58.91,10.001,0.502
6.525,57.98,10.001,0.498
6.874,57.17,10.001,0.493
7.224,56.41,10.001,0.488
7.6,55.65,10.001,0.484
7.947,54.88,10.001,0.48
8.297,54.24,10.001,0.476
8.646,53.59,10.001,0.472
8.996,52.99,10.001,0.457
9.343,58.82,9.967,0.211
9.72,120.07,5.354,0.107
10.07,120.05,5.253,0.09
10.419,120.02,10.001,0.12
10.767,68.13,10.001,0.115
11.144,62.31,10.001,0.108
11.493,76.25,5.134,0.052
11.842,120.05,4.678,0.051
12.191,120.03,4.729,0.051
12.54,120.04,4.812,0.051
12.888,120.03,4.911,0.051
13.266,120.03,4.933,0.051
13.615,120.03,5.079,0.05
13.965,120.04,5.079,0.05
14.312,120.03,5.087,0.05
14.663,120.03,5.991,0.05
15.01,120.07,6.018,0.05
15.388,120.02,10.001,0.029
15.738,0,10.001,0.029
16.087,0,10.001,0.029
16.438,0,10.001,0.028
16.787,0,10.001,0.028
17.171,0,10.001,0.028
17.55,0,10.001,0.028
17.913,0,10.001,0.028
18.279,0,10.001,0.028
18.658,0,10.001,0.028
19.014,0,10.001,0.028
19.367,0,10.001,0.028
19.712,0,10.001,0.028
