Time (s),Current (A),Voltage (V),Torque 2V (N · m)
0.001,19.47,6.001,0.284
0.375,33.86,6.001,0.281
0.752,33.38,6.001,0.277
1.155,32.87,6.001,0.272
1.534,32.23,6.001,0.267
1.915,31.58,6.001,0.264
2.291,31.19,6.001,0.261
2.641,30.82,6.001,0.259
2.99,30.59,6.001,0.256
3.366,30.15,6.001,0.253
3.714,29.87,6.001,0.249
4.064,29.39,6.001,0.247
4.413,29.17,6.001,0.246
4.762,28.96,6.001,0.244
5.14,28.77,6.001,0.242
5.489,28.48,6.001,0.241
5.838,28.3,6.001,0.241
6.187,28.36,6.001,0.239
6.537,28.16,6.001,0.238
6.884,28.01,6.001,0.237
7.261,27.91,6.001,0.236
7.611,27.7,6.001,0.234
7.96,27.47,6.001,0.233
8.31,27.34,6.001,0.231
8.658,27.21,6.001,0.23
9.034,27.07,6.001,0.229
9.383,26.92,6.001,0.228
9.732,26.78,6.001,0.227
10.081,26.64,6.001,0.226
10.431,26.52,6.001,0.226
10.806,26.44,6.001,0.224
11.157,26.26,6.001,0.223
11.505,26.13,6.001,0.222
11.854,26.01,6.001,0.221
12.203,25.87,6.001,0.22
12.579,25.76,6.001,0.219
12.928,25.65,6.001,0.219
13.276,25.56,6.001,0.218
13.627,25.49,6.001,0.217
13.976,25.4,6.001,0.216
14.324,25.31,6.001,0.216
14.702,25.19,6.001,0.215
15.049,25.12,6.001,0.214
15.399,25.03,6.001,0.214
15.747,25,6.001,0.213
16.096,24.92,6.001,0.212
16.474,24.84,6.001,0.211
16.823,24.72,6.001,0.211
17.172,24.68,6.001,0.21
17.521,24.61,6.001,0.21
17.87,24.55,6.001,0.21
18.219,24.5,6.001,0.209
18.579,24.42,6.001,0.208
18.935,24.37,6.001,0.208
19.294,24.29,6.001,0.207
19.641,24.18,6.001,0.206
20.016,24.12,6.001,0.206
20.367,24.12,6.001,0.206
20.716,24.05,6.001,0.205
21.064,23.96,6.001,0.205
21.415,23.91,6.001,0.204
21.764,23.89,6.001,0.204
22.138,23.84,6.001,0.204
22.489,23.8,6.001,0.203
22.84,23.75,6.001,0.203
23.188,23.68,6.001,0.202
23.538,23.65,6.001,0.202
23.885,23.59,6.001,0.202
24.264,23.53,6.001,0.201
24.612,23.48,6.001,0.201
24.961,23.4,6.001,0.2
25.31,23.34,6.001,0.199
25.66,23.28,6.001,0.199
26.019,23.26,6.001,0.199
26.374,23.21,6.001,0.198
26.733,23.16,6.001,0.198
27.084,23.13,6.001,0.198
27.433,23.13,6.001,0.197
27.782,23.06,6.001,0.197
28.158,23.02,6.001,0.197
28.506,22.99,6.001,0.197
28.856,22.97,6.001,0.196
29.203,22.95,6.001,0.196
29.554,22.89,6.001,0.195
29.929,22.85,6.001,0.195
30.278,22.79,6.001,0.195
30.628,22.78,6.001,0.194
30.976,22.73,6.001,0.194
31.327,22.7,6.001,0.194
31.702,22.67,6.001,0.193
32.051,22.65,6.001,0.193
32.4,22.62,6.001,0.193
32.749,22.59,6.001,0.193
33.098,22.56,6.001,0.192
33.449,22.51,6.001,0.192
33.806,22.49,6.001,0.192
34.164,22.48,6.001,0.192
34.523,22.44,6.001,0.191
34.872,22.42,6.001,0.191
35.222,22.4,6.001,0.191
35.579,22.37,6.001,0.191
35.936,22.34,6.001,0.19
36.296,22.31,6.001,0.19
36.645,22.25,6.001,0.189
36.994,22.2,6.001,0.189
37.37,22.16,6.001,0.189
37.719,22.11,6.001,0.188
38.066,22.07,6.001,0.188
38.418,22.02,6.001,0.188
38.766,21.99,6.001,0.188
39.142,21.97,6.001,0.187
39.491,21.92,6.001,0.187
39.841,21.85,6.001,0.186
40.19,21.78,6.001,0.185
40.539,21.71,6.001,0.185
40.916,21.73,6.001,0.185
41.266,21.72,6.001,0.185
41.615,21.72,6.001,0.185
41.963,21.7,6.001,0.185
42.312,21.67,6.001,0.184
42.662,21.62,6.001,0.184
43.01,21.59,6.001,0.184
43.388,21.51,6.001,0.183
43.736,21.49,6.001,0.183
44.086,21.46,6.001,0.183
44.433,21.43,6.001,0.183
44.784,21.43,6.001,0.182
45.161,21.41,6.001,0.182
45.51,21.37,6.001,0.182
45.859,21.35,6.001,0.182
46.207,21.32,6.001,0.181
46.558,21.27,6.001,0.181
46.907,21.21,6.001,0.18
47.283,21.13,6.001,0.179
47.629,21.08,6.001,0.179
47.98,21.07,6.001,0.18
48.328,21.13,6.001,0.18
48.705,21.1,6.001,0.179
49.054,21.08,6.001,0.179
49.403,21.02,6.001,0.179
49.751,21.01,6.001,0.179
50.102,20.99,6.001,0.178
50.451,20.97,6.001,0.178
50.809,20.94,6.001,0.178
51.191,20.9,6.001,0.177
51.553,20.84,6.001,0.177
51.91,20.85,6.001,0.177
52.266,20.85,6.001,0.177
52.626,20.8,6.001,0.176
52.976,20.79,6.001,0.176
53.324,20.79,6.001,0.176
53.7,20.8,6.001,0.176
54.049,20.76,6.001,0.176
54.398,20.75,6.001,0.176
54.749,20.72,6.001,0.176
55.097,20.7,6.001,0.176
55.473,20.7,6.001,0.175
55.821,20.69,6.001,0.175
56.17,20.67,6.001,0.175
56.519,20.63,6.001,0.175
56.868,20.58,6.001,0.174
57.245,20.55,6.001,0.174
57.596,20.5,6.001,0.174
57.943,20.54,6.001,0.174
58.294,20.55,6.001,0.174
58.642,20.56,6.001,0.174
58.991,20.55,6.001,0.174
59.342,20.55,6.001,0.174
59.718,20.53,6.001,0.174
60.066,20.5,6.001,0.173
60.417,20.45,6.001,0.173
60.765,20.4,6.001,0.173
61.115,20.38,6.001,0.172
61.491,20.38,6.001,0.172
61.84,20.35,6.001,0.172
62.204,20.32,6.001,0.172
62.591,20.31,6.001,0.172
62.94,20.26,6.001,0.171
63.287,20.25,6.001,0.171
63.638,20.23,6.001,0.171
63.987,20.2,6.001,0.171
64.364,20.18,6.001,0.17
64.714,20.14,6.001,0.17
65.062,20.16,6.001,0.17
65.41,20.14,6.001,0.17
65.761,20.09,6.001,0.17
66.109,20.06,6.001,0.17
66.46,20.05,6.001,0.169
66.834,20.02,6.001,0.169
67.184,20.02,6.001,0.169
67.533,20.02,6.001,0.169
67.883,20,6.001,0.169
68.232,19.94,6.001,0.168
68.606,19.94,6.001,0.168
68.957,19.91,6.001,0.168
69.304,19.85,6.001,0.168
69.655,19.89,6.001,0.168
70.004,19.89,6.001,0.168
70.378,19.84,6.001,0.167
70.727,19.81,6.001,0.167
71.077,19.8,6.001,0.167
71.427,19.83,6.001,0.167
71.802,19.81,6.001,0.167
72.151,19.8,6.001,0.167
72.501,19.78,6.001,0.167
72.849,19.77,6.001,0.167
73.199,19.75,6.001,0.166
73.548,19.73,6.001,0.166
73.907,19.69,6.001,0.166
74.263,19.69,6.001,0.166
74.623,19.68,6.001,0.166
74.972,19.68,6.001,0.166
75.323,19.67,6.001,0.166
75.67,19.65,6.001,0.165
76.048,19.61,6.001,0.165
76.397,19.6,6.001,0.165
76.746,19.57,6.001,0.165
77.095,19.56,6.001,0.165
77.445,19.52,6.001,0.165
77.821,19.51,6.001,0.165
78.169,19.5,6.001,0.164
