Time,Amps,Volts,Torque 6V (N · m)
0.002,50.86,6.001,1.028
0.384,50.69,6.001,1.026
0.796,50.36,6.001,1.019
1.202,50.09,6.001,1.013
1.581,49.78,6.001,1.008
1.96,49.48,6.001,1.003
2.309,49.2,6.001,1
2.657,48.91,6.001,0.996
3.007,48.68,6.001,0.993
3.357,48.45,6.001,0.991
3.706,48.23,6.001,0.988
4.082,47.98,6.001,0.985
4.43,47.78,6.001,0.983
4.78,47.56,6.001,0.981
5.129,47.34,6.001,0.978
5.479,47.13,6.001,0.976
5.828,46.93,6.001,0.974
6.205,46.7,6.001,0.971
6.554,46.43,6.001,0.969
6.903,46.3,6.001,0.967
7.252,46.11,6.001,0.966
7.602,45.92,6.001,0.963
7.95,45.72,6.001,0.961
8.327,45.53,6.001,0.959
8.675,45.34,6.001,0.957
9.024,45.15,6.001,0.955
9.374,44.96,6.001,0.952
9.724,44.78,6.001,0.949
10.098,44.59,6.001,0.947
10.448,44.45,6.001,0.945
10.798,44.31,6.001,0.943
11.145,44.17,6.001,0.941
11.496,44.06,6.001,0.939
11.845,43.91,6.001,0.938
12.22,43.78,6.001,0.937
12.57,43.65,6.001,0.936
12.926,43.5,6.001,0.934
13.323,43.38,6.001,0.933
13.672,43.27,6.001,0.931
14.021,43.14,6.001,0.93
14.371,43.01,6.001,0.928
14.719,42.87,6.001,0.927
15.095,42.74,6.001,0.926
15.444,42.63,6.001,0.925
15.792,42.51,6.001,0.923
16.142,42.41,6.001,0.922
16.491,42.3,6.001,0.921
16.866,42.2,6.001,0.92
17.217,42.1,6.001,0.919
17.566,42,6.001,0.918
17.915,41.91,6.001,0.916
18.264,41.8,6.001,0.916
18.64,41.71,6.001,0.914
18.989,41.61,6.001,0.914
19.338,41.52,6.001,0.913
19.687,41.44,6.001,0.912
20.036,41.36,6.001,0.911
20.414,41.27,6.001,0.91
20.763,41.17,6.001,0.909
21.113,41.07,6.001,0.908
21.462,40.98,6.001,0.907
21.811,40.89,6.001,0.907
22.158,40.81,6.001,0.906
22.509,40.75,6.001,0.905
22.885,40.67,6.001,0.904
23.234,40.6,6.001,0.903
23.584,40.53,6.001,0.903
23.933,40.43,6.001,0.902
24.282,40.35,6.001,0.901
24.657,40.29,6.001,0.9
25.007,40.21,6.001,0.9
25.355,40.14,6.001,0.899
25.705,40.07,6.001,0.898
26.054,39.99,6.001,0.897
26.43,39.93,6.001,0.897
26.779,39.84,6.001,0.896
27.128,39.76,6.001,0.895
27.477,39.69,6.001,0.894
27.827,39.6,6.001,0.893
28.202,39.51,6.001,0.893
28.551,39.46,6.001,0.892
28.902,39.4,6.001,0.891
29.25,39.36,6.001,0.891
29.598,39.32,6.001,0.89
29.976,39.26,6.001,0.889
30.324,39.2,6.001,0.888
30.674,39.12,6.001,0.888
31.022,39.06,6.001,0.888
31.371,39,6.001,0.887
31.72,38.95,6.001,0.886
32.097,38.88,6.001,0.886
32.446,38.81,6.001,0.885
32.796,38.72,6.001,0.884
33.145,38.66,6.001,0.883
33.494,38.6,6.001,0.883
33.87,38.51,6.001,0.882
34.218,38.44,6.001,0.881
34.568,38.39,6.001,0.881
34.916,38.35,6.001,0.88
35.266,38.28,6.001,0.879
35.615,38.23,6.001,0.879
35.99,38.18,6.001,0.878
36.34,38.13,6.001,0.877
36.69,38.07,6.001,0.877
37.038,38.06,6.001,0.876
37.414,38.03,6.001,0.876
37.763,37.97,6.001,0.875
38.112,37.91,6.001,0.874
38.463,37.84,6.001,0.874
38.81,37.78,6.001,0.873
39.161,37.75,6.001,0.873
39.537,37.7,6.001,0.872
39.886,37.64,6.001,0.871
40.236,37.56,6.001,0.871
40.584,37.53,6.001,0.87
40.934,37.51,6.001,0.87
41.282,37.49,6.001,0.869
41.659,37.44,6.001,0.869
42.008,37.39,6.001,0.868
42.357,37.35,6.001,0.868
42.707,37.31,6.001,0.867
43.056,37.27,6.001,0.867
43.432,37.23,6.001,0.866
43.78,37.2,6.001,0.866
44.13,37.15,6.001,0.865
44.478,37.12,6.001,0.865
44.829,37.07,6.001,0.864
45.178,37.04,6.001,0.863
45.554,36.99,6.001,0.863
45.901,36.97,6.001,0.863
46.251,36.94,6.001,0.862
46.6,36.91,6.001,0.862
46.977,36.88,6.001,0.861
47.326,36.85,6.001,0.861
47.674,36.82,6.001,0.86
48.023,36.78,6.001,0.859
48.372,36.75,6.001,0.859
48.721,36.72,6.001,0.859
49.098,36.68,6.001,0.858
49.447,36.64,6.001,0.858
49.797,36.6,6.001,0.857
50.145,36.55,6.001,0.857
50.495,36.51,6.001,0.856
50.871,36.46,6.001,0.856
51.22,36.43,6.001,0.855
51.569,36.38,6.001,0.854
51.919,36.35,6.001,0.854
52.268,36.29,6.001,0.853
52.617,36.23,6.001,0.852
52.993,36.19,6.001,0.852
53.341,36.16,6.001,0.851
53.692,36.16,6.001,0.851
54.04,36.11,6.001,0.851
54.415,36.08,6.001,0.85
54.765,36.06,6.001,0.85
55.114,36.04,6.001,0.849
55.462,36.02,6.001,0.849
55.813,35.99,6.001,0.848
56.162,35.96,6.001,0.848
56.539,35.91,6.001,0.847
56.887,35.88,6.001,0.847
57.237,35.85,6.001,0.847
57.586,35.8,6.001,0.846
57.934,35.76,6.001,0.845
58.284,35.71,6.001,0.845
58.661,35.69,6.001,0.845
59.009,35.65,6.001,0.844
59.359,35.6,6.001,0.843
59.707,35.58,6.001,0.843
60.058,35.56,6.001,0.843
60.433,35.54,6.001,0.842
60.782,35.5,6.001,0.842
61.133,35.49,6.001,0.841
61.481,35.44,6.001,0.841
61.831,35.42,6.001,0.841
62.194,35.39,6.001,0.84
62.556,35.39,6.001,0.84
62.903,35.38,6.001,0.84
63.253,35.37,6.001,0.839
63.602,35.34,6.001,0.839
63.951,35.32,6.001,0.839
64.3,35.28,6.001,0.838
64.675,35.28,6.001,0.838
65.025,35.24,6.001,0.837
65.374,35.22,6.001,0.837
65.723,35.18,6.001,0.836
66.098,35.16,6.001,0.836
66.448,35.14,6.001,0.836
66.797,35.12,6.001,0.835
67.146,35.07,6.001,0.835
67.495,35.02,6.001,0.834
67.844,35,6.001,0.834
68.222,34.98,6.001,0.834
68.57,34.94,6.001,0.833
68.92,34.91,6.001,0.833
69.267,34.9,6.001,0.832
69.617,34.89,6.001,0.832
69.966,34.91,6.001,0.832
70.343,34.89,6.001,0.831
70.693,34.84,6.001,0.831
71.041,34.79,6.001,0.83
71.39,34.75,6.001,0.83
71.741,34.71,6.001,0.83
72.116,34.69,6.001,0.829
72.464,34.68,6.001,0.829
72.813,34.66,6.001,0.829
73.163,34.66,6.001,0.828
73.513,34.62,6.001,0.828
73.889,34.61,6.001,0.828
74.237,34.61,6.001,0.827
74.587,34.59,6.001,0.827
74.948,34.62,6.001,0.827
75.34,34.61,6.001,0.826
75.689,34.57,6.001,0.826
76.038,34.53,6.001,0.826
76.387,34.5,6.001,0.826
76.737,34.49,6.001,0.825
77.111,34.46,6.001,0.824
77.462,34.45,6.001,0.824
77.809,34.44,6.001,0.824
78.159,34.4,6.001,0.823
78.507,34.38,6.001,0.823
78.884,34.35,6.001,0.823
79.233,34.33,6.001,0.822
79.581,34.3,6.001,0.822
79.931,34.28,6.001,0.821
80.307,34.24,6.001,0.822
80.657,34.23,6.001,0.821
81.006,34.21,6.001,0.821
81.355,34.18,6.001,0.82
81.704,34.12,6.001,0.82
82.053,34.06,6.001,0.819
82.43,34.05,6.001,0.819
82.778,34.05,6.001,0.819
83.128,34.05,6.001,0.819
83.477,34.03,6.001,0.819
83.826,34.03,6.001,0.818
84.203,34.01,6.001,0.818
84.552,33.99,6.001,0.818
84.909,33.95,6.001,0.818
