Time,Current (A),Power Output (W)
0,39.55,188.717
0.375,40.92,185.663
0.739,40.18,182.395
1.144,39.72,180.851
1.527,39.05,171.799
1.908,38.78,172.125
2.258,38.74,182.094
2.608,38.88,175.22
2.993,39.14,182.8
3.377,39.04,181.94
3.734,38.94,171.184
4.084,38.59,179.933
4.462,38.51,174.907
4.827,38.09,171.817
5.186,37.61,174.188
5.562,37.37,170.536
5.91,36.71,170.332
6.259,36.84,167.309
6.609,37.09,172.179
6.958,36.85,162.158
7.335,36.83,165.666
7.685,36.61,173.12
8.033,36.39,157.284
8.383,36.38,173.411
8.732,36.3,171.094
9.082,36.21,156.025
9.458,35.87,166.068
9.807,35.63,163.136
10.157,35.52,152.05
10.505,35.09,163.445
10.855,34.74,160.824
11.204,34.82,155.554
11.58,34.55,154.135
11.929,34.57,151.183
12.279,34.34,151.247
12.629,34.25,146.041
13.03,34.34,160.135
13.379,33.95,138.282
13.729,33.85,134.034
14.077,33.63,152.531
14.427,33.07,142.172
14.804,32.9,142.865
15.152,32.79,150.189
15.503,32.34,150.977
15.85,32.08,152.306
16.201,31.89,126.078
16.56,31.88,121.472
16.916,31.99,120.173
17.275,31.7,151.215
17.625,31.5,153.108
18.026,31.33,154.2
18.375,31.25,114.31
18.725,31.16,134.091
19.073,31.11,131.526
19.451,31.08,138.603
19.8,31.17,134.02
20.15,31.15,131.305
20.551,31.05,138.108
20.901,30.8,131.346
21.25,30.78,126.531
21.598,30.89,126.557
21.961,30.79,151.39
22.352,31.14,136.451
22.701,31,146.833
23.051,30.87,99.337
23.401,30.81,100.563
23.802,30.66,103.452
24.153,30.72,160.875
24.502,30.64,102.598
24.85,30.58,99.578
25.228,30.69,102.177
25.577,30.73,145.277
25.925,30.69,101.484
26.274,30.71,149.904
26.625,30.8,150.189
27,30.58,102.673
27.35,30.58,111.328
27.753,30.7,147.05
28.118,30.32,99.159
28.479,30.38,130.132
28.881,30.11,137.244
29.229,30.07,113.364
29.578,29.79,142.486
29.927,29.7,103.692
30.303,29.73,109.536
30.652,29.86,103.409
31.002,29.84,105.397
31.351,29.75,143.151
31.701,29.76,116.2
32.049,29.68,110.415
32.417,29.52,116.482
32.774,29.57,106.537
33.124,29.53,137.201
33.473,29.61,138.253
33.823,29.42,115.425
34.199,29.38,110.473
34.549,29.15,135.027
34.898,29.44,124.289
35.3,29.24,130.392
35.649,29.31,134.246
35.999,29.3,115.207
36.347,29.2,121.523
36.696,29.43,125.389
37.074,29.06,111.246
37.422,29.57,109.674
37.773,29.4,136.321
38.121,29.37,111.422
38.471,29.4,121.421
38.819,29.59,131.498
39.17,29.92,117.551
39.528,29.82,135.369
39.883,29.79,132.077
40.244,29.76,111.469
40.592,29.6,124.342
40.942,29.77,127.996
41.292,29.27,108.46
41.668,29.48,131.401
42.017,29.52,134.6
42.367,29.41,128.28
42.715,28.86,132.901
43.091,28.82,105.508
43.441,28.4,103.104
43.791,27.91,127.594
44.14,27.85,111.797
44.488,28.26,127.473
44.837,28.07,130.173
45.213,28.3,116.286
45.563,28.57,121.702
45.912,28.43,131.277
46.262,28.68,118.236
46.611,28.65,125.35
46.959,28.51,120.527
47.32,28.54,111.375
47.702,28.72,113.423
48.062,28.53,119.33
48.411,28.39,109.444
48.787,28.49,117.428
49.136,28.22,113.84
49.484,27.56,120.936
49.835,27.05,105.897
50.238,27.52,125.508
50.588,27.28,122.159
50.936,27.33,127.54
51.285,27.76,116.469
51.644,27.38,126.025
52,27.18,120.821
52.36,34.36,103.06
52.71,34.45,112.594
53.112,34.55,117.589
53.461,34.23,104.337
53.809,34.11,105.386
54.159,33.84,116.457
54.536,33.73,119.544
54.885,33.85,109.087
55.288,37.59,103.332
55.655,37.56,112.843
56.013,37.92,100.68
56.362,47.39,87.534
56.71,47.91,80.251
57.088,66.1,83.618
57.438,68.62,9.349
57.824,115.98,37.565
58.204,0,10.465
58.566,0,1.655
58.942,0,0.025
