Time,Amps,Volts,Torque 12V (N · m)
0.001,92.27,12,0.383
0.393,84.52,12,0.368
0.795,78.51,12,0.353
1.171,73.78,12,0.34
1.579,70.24,12,0.329
1.963,66.82,12,0.319
2.337,63.98,12,0.311
2.686,61.32,12,0.302
3.036,58.92,12,0.297
3.385,57.06,12,0.292
3.734,55.29,12,0.288
4.11,53.81,12,0.282
4.46,56.87,12,0.21
4.808,128.62,12,0.135
5.158,71.2,9.178,0.036
5.507,41.62,12,0.025
5.881,41.15,12,0.014
6.232,40.31,12,0.011
6.581,37.33,12,0.01
6.931,35,12,0.009
7.28,33.18,12,0.009
7.655,31.47,12,0.009
8.004,30.14,12,0.009
8.354,28.95,12,0.009
8.703,28,12,0.009
9.052,27.84,12,0.013
9.401,45.45,12,0.013
9.76,113.83,12,0.01
10.117,0,12,0.009
10.475,1.31,12,0.01
10.825,0,12,0.009
11.173,0,12,0.009
11.524,0,12,0.009
11.898,0,12,0.008
12.261,0,12,0.008
12.651,0,12,0.008
13.001,0,12,0.008
13.363,0,12,0.008
13.752,0,12,0.009
14.118,0,12,0.008
14.491,0,12,0.008
14.87,0,12,0.009
15.229,0,12,0.009
15.579,0,12,0.009
15.927,0,12,0.009
16.317,0,12,0.009
16.709,0,12,0.009
17.072,0,12,0.013
17.446,0,12,0.013
17.819,0,12,0.013
18.172,0,12,0.013
18.563,0,12,0.013
