Time,Amps,Volts,Torque 6V (N · m)
0.008,31.53,6.001,0.262
0.417,44.38,6.001,0.26
0.793,43.03,6.001,0.258
1.195,42.15,6.001,0.256
1.612,41.2,6.001,0.253
1.957,40.39,6.001,0.25
2.308,39.61,6.001,0.247
2.656,39.03,6.001,0.245
3.026,38.41,6.001,0.243
3.408,37.77,6.001,0.24
3.758,37.15,6.001,0.238
4.107,36.58,6.001,0.236
4.456,36.09,6.001,0.234
4.833,35.58,6.001,0.231
5.181,35.09,6.001,0.229
5.531,34.65,6.001,0.227
5.88,34.23,6.001,0.226
6.229,33.89,6.001,0.224
6.604,33.53,6.001,0.223
6.954,33.18,6.001,0.221
7.303,32.86,6.001,0.22
7.653,32.55,6.001,0.218
8.001,32.3,6.001,0.217
8.377,32.01,6.001,0.216
8.726,31.76,6.001,0.215
9.075,31.5,6.001,0.213
9.424,31.25,6.001,0.212
9.772,31.02,6.001,0.211
10.149,30.77,6.001,0.21
10.499,30.56,6.001,0.209
10.848,30.32,6.001,0.208
11.196,30.14,6.001,0.207
11.546,29.93,6.001,0.206
11.922,29.73,6.001,0.205
12.27,29.56,6.001,0.204
12.621,29.37,6.001,0.203
12.969,29.22,6.001,0.202
13.331,29.08,6.001,0.202
13.695,28.92,6.001,0.201
14.045,28.75,6.001,0.2
14.394,28.61,6.001,0.199
14.742,28.48,6.001,0.198
15.092,28.34,6.001,0.198
15.44,28.22,6.001,0.197
15.816,28.07,6.001,0.196
16.165,27.96,6.001,0.196
16.514,27.81,6.001,0.195
16.863,27.71,6.001,0.194
17.213,27.59,6.001,0.194
17.589,27.47,6.001,0.193
17.938,27.3,6.001,0.192
18.287,27.25,6.001,0.192
18.637,27.16,6.001,0.191
18.986,27.06,6.001,0.191
19.37,26.93,6.001,0.19
19.727,26.82,6.001,0.19
20.088,26.74,6.001,0.189
20.464,26.66,6.001,0.188
20.83,26.51,6.001,0.188
21.215,26.48,6.001,0.188
21.565,26.4,6.001,0.187
21.914,26.3,6.001,0.187
22.263,26.23,6.001,0.186
22.612,26.14,6.001,0.186
22.962,26.07,6.001,0.185
23.339,26,6.001,0.185
23.687,25.9,6.001,0.184
24.037,25.84,6.001,0.184
24.385,25.79,6.001,0.184
24.736,25.67,6.001,0.183
25.084,25.64,6.001,0.183
25.434,25.59,6.001,0.183
25.81,25.52,6.001,0.182
26.159,25.46,6.001,0.182
26.508,25.4,6.001,0.181
26.857,25.24,6.001,0.181
27.207,25.21,6.001,0.18
27.581,25.17,6.001,0.18
27.931,25.13,6.001,0.18
28.28,25.04,6.001,0.179
28.629,25.01,6.001,0.179
28.978,24.96,6.001,0.179
29.354,24.9,6.001,0.178
29.703,24.82,6.001,0.178
30.052,24.79,6.001,0.178
30.401,24.75,6.001,0.178
30.751,24.71,6.001,0.177
31.127,24.65,6.001,0.177
31.476,24.61,6.001,0.177
31.826,24.57,6.001,0.176
32.174,24.54,6.001,0.176
32.523,24.51,6.001,0.176
32.899,24.47,6.001,0.176
33.249,24.44,6.001,0.175
33.599,24.39,6.001,0.175
33.948,24.36,6.001,0.175
34.297,24.31,6.001,0.175
34.645,24.27,6.001,0.174
34.996,24.23,6.001,0.174
35.371,24.16,6.001,0.173
35.72,25.96,6.001,0.17
36.07,26.22,6.001,0.17
36.42,27.35,6.001,0.169
36.769,27.65,6.001,0.169
37.144,28.12,6.001,0.168
37.495,28.25,6.001,0.166
37.846,27.95,6.001,0.166
38.193,27.95,6.001,0.166
38.541,27.98,6.001,0.165
38.917,28.44,6.001,0.165
39.266,28.57,6.001,0.164
39.615,28.77,6.001,0.162
39.964,28.65,6.001,0.162
40.314,28.72,6.001,0.162
40.663,28.82,6.001,0.162
41.04,28.79,6.001,0.153
41.389,34.74,6.001,0.152
41.738,35.49,6.001,0.151
42.086,35.63,6.001,0.145
42.435,41.32,6.001,0.138
42.786,45.45,6.001,0.137
43.163,47.94,6.001,0.129
43.51,49.91,6.001,0.108
43.859,63.16,6.001,0.104
44.208,65.11,6.001,0.084
44.558,82.17,6.001,0.065
44.934,102.73,6.003,0.073
45.284,11,6.001,0.073
45.633,11.19,6.001,0.057
45.982,16.97,6.001,0.071
46.331,11.51,6.001,0.07
46.681,11.41,6.001,0.07
47.056,11.22,6.001,0.069
47.404,10.77,6.001,0.069
47.754,10.66,6.001,0.07
48.103,10.62,6.001,0.07
48.452,10.63,6.001,0.07
48.828,10.74,6.001,0.07
49.196,10.6,6.001,0.07
49.58,10.55,6.001,0.07
49.931,10.45,6.001,0.07
50.28,10.53,6.001,0.07
50.628,10.41,6.001,0.07
50.978,10.42,6.001,0.07
51.327,10.35,6.001,0.07
51.676,10.27,6.001,0.07
52.051,10.27,6.001,0.07
52.401,10.23,6.001,0.069
52.749,10.23,6.001,0.069
53.1,10.22,6.001,0.069
53.449,10.19,6.001,0.069
53.823,10.15,6.001,0.069
54.173,10.14,6.001,0.069
54.523,10.09,6.001,0.069
54.873,10.07,6.001,0.069
55.222,10.05,6.001,0.069
55.598,10.02,6.001,0.069
55.947,10.01,6.001,0.069
56.296,9.99,6.001,0.069
56.645,9.97,6.001,0.068
56.994,9.95,6.001,0.068
57.37,9.92,6.001,0.068
57.719,9.92,6.001,0.068
58.068,9.89,6.001,0.068
58.416,9.87,6.001,0.068
58.767,9.77,6.001,0.068
59.115,9.77,6.001,0.068
59.491,9.75,6.001,0.068
59.841,9.75,6.001,0.068
