Time (s),Current (A),Voltage (V),Torque 2V (N · m)
0.005,22.61,4.001,0.201
0.38,23.19,4.001,0.2
0.794,22.99,4.001,0.198
1.198,22.78,4.001,0.196
1.566,22.54,4.001,0.195
1.959,22.36,4.001,0.194
2.307,22.2,4.001,0.192
2.657,22.01,4.001,0.191
3.004,21.85,4.001,0.19
3.381,21.69,4.001,0.189
3.73,21.55,4.001,0.188
4.08,21.43,4.001,0.187
4.429,21.32,4.001,0.186
4.776,21.21,4.001,0.185
5.154,21.07,4.001,0.184
5.503,20.95,4.001,0.182
5.852,20.76,4.001,0.181
6.2,20.63,4.001,0.18
6.55,20.56,4.001,0.18
6.927,20.49,4.001,0.179
7.275,20.42,4.001,0.178
7.625,20.34,4.001,0.178
7.973,20.28,4.001,0.177
8.323,20.22,4.001,0.177
8.699,20.16,4.001,0.176
9.049,20.09,4.001,0.175
9.4,20.02,4.001,0.175
9.748,19.95,4.001,0.174
10.096,19.89,4.001,0.174
10.446,19.84,4.001,0.173
10.822,19.78,4.001,0.173
11.17,19.72,4.001,0.172
11.52,19.65,4.001,0.172
11.867,19.58,4.001,0.171
12.244,19.53,4.001,0.171
12.593,19.46,4.001,0.17
12.942,19.4,4.001,0.17
13.292,19.33,4.001,0.169
13.64,19.24,4.001,0.168
13.99,19.17,4.001,0.168
14.366,19.08,4.001,0.167
14.715,19.01,4.001,0.166
15.065,18.85,4.001,0.165
15.412,18.8,4.001,0.164
15.763,18.73,4.001,0.164
16.113,18.7,4.001,0.164
16.488,18.62,4.001,0.163
16.836,18.57,4.001,0.163
17.186,18.56,4.001,0.163
17.536,18.51,4.001,0.162
17.885,18.46,4.001,0.162
18.244,18.4,4.001,0.161
18.599,18.34,4.001,0.161
18.958,18.31,4.001,0.16
19.308,18.28,4.001,0.16
19.658,18.27,4.001,0.16
20.032,18.24,4.001,0.16
20.383,18.24,4.001,0.16
20.731,18.2,4.001,0.159
21.08,18.19,4.001,0.159
21.429,18.15,4.001,0.159
21.804,18.13,4.001,0.159
22.154,18.1,4.001,0.158
22.502,18.05,4.001,0.158
22.853,18,4.001,0.158
23.201,17.97,4.001,0.157
23.577,17.95,4.001,0.157
23.926,17.91,4.001,0.157
24.274,17.89,4.001,0.157
24.625,17.86,4.001,0.156
24.974,17.83,4.001,0.156
25.35,17.8,4.001,0.155
25.698,17.72,4.001,0.155
26.048,17.69,4.001,0.155
26.398,17.62,4.001,0.154
26.748,17.64,4.001,0.155
27.096,17.68,4.001,0.155
27.473,17.7,4.001,0.154
27.821,17.67,4.001,0.154
28.171,17.66,4.001,0.154
28.52,17.66,4.001,0.154
28.869,17.63,4.001,0.154
29.245,17.58,4.001,0.154
29.594,17.57,4.001,0.153
29.944,17.54,4.001,0.153
30.291,17.52,4.001,0.153
30.667,17.48,4.001,0.153
31.017,17.43,4.001,0.152
31.366,17.41,4.001,0.152
31.716,17.4,4.001,0.152
32.064,17.38,4.001,0.152
32.414,17.35,4.001,0.152
32.803,17.32,4.001,0.152
33.194,17.32,4.001,0.151
33.569,17.32,4.001,0.151
33.917,17.28,4.001,0.151
34.266,17.23,4.001,0.151
34.626,17.19,4.001,0.15
35.008,17.14,4.001,0.149
35.369,17.05,4.001,0.149
35.717,17.03,4.001,0.149
36.094,17,4.001,0.149
36.442,17.02,4.001,0.149
36.792,17.03,4.001,0.149
37.142,16.97,4.001,0.148
37.491,16.95,4.001,0.148
37.867,16.99,4.001,0.148
38.215,16.95,4.001,0.148
38.564,16.97,4.001,0.148
38.911,16.93,4.001,0.148
39.262,16.91,4.001,0.147
39.61,16.83,4.001,0.147
39.986,16.8,4.001,0.147
40.336,16.75,4.001,0.146
40.686,16.69,4.001,0.146
41.034,16.71,4.001,0.146
41.394,16.7,4.001,0.146
41.776,16.75,4.001,0.147
42.137,16.81,4.001,0.147
42.484,16.82,4.001,0.147
42.861,16.86,4.001,0.147
43.211,16.84,4.001,0.147
43.559,16.83,4.001,0.147
43.911,16.82,4.001,0.147
44.259,16.78,4.001,0.146
44.635,16.75,4.001,0.146
44.984,16.73,4.001,0.146
45.333,16.73,4.001,0.146
45.682,16.69,4.001,0.146
46.057,16.66,4.001,0.146
46.407,16.65,4.001,0.145
46.755,16.64,4.001,0.145
47.105,16.63,4.001,0.145
47.454,16.61,4.001,0.145
47.802,16.56,4.001,0.145
48.179,16.53,4.001,0.144
48.527,16.46,4.001,0.144
48.877,16.47,4.001,0.144
49.227,16.49,4.001,0.144
49.576,16.5,4.001,0.144
49.935,16.48,4.001,0.144
50.291,16.51,4.001,0.144
50.649,16.51,4.001,0.144
51,16.52,4.001,0.144
