Time (s),Current (A),Voltage (V),Torque 2V (N · m)
51.347,16.54,4.001,0.144
51.698,16.51,4.001,0.144
52.074,16.51,4.001,0.144
52.423,16.44,4.001,0.144
52.772,16.48,4.001,0.144
53.122,16.46,4.001,0.143
53.471,16.43,4.001,0.143
53.846,16.42,4.001,0.143
54.195,16.42,4.001,0.143
54.544,16.42,4.001,0.143
54.893,16.39,4.001,0.143
55.242,16.37,4.001,0.143
55.617,16.4,4.001,0.143
55.967,16.42,4.001,0.143
56.316,16.41,4.001,0.143
56.665,16.39,4.001,0.143
57.014,16.36,4.001,0.143
57.391,16.32,4.001,0.142
57.74,16.31,4.001,0.142
58.089,16.31,4.001,0.142
58.438,16.32,4.001,0.142
58.787,16.32,4.001,0.142
59.163,16.33,4.001,0.142
59.511,16.3,4.001,0.142
59.863,16.25,4.001,0.142
60.211,16.22,4.001,0.141
60.561,16.14,4.001,0.141
60.908,16.08,4.001,0.141
61.259,16.1,4.001,0.141
61.635,16.1,4.001,0.14
61.997,16.06,4.001,0.14
62.386,16,4.001,0.14
62.735,16.06,4.001,0.14
63.085,16.09,4.001,0.14
63.433,16.08,4.001,0.14
63.782,16.09,4.001,0.14
64.132,16.1,4.001,0.14
64.509,16.1,4.001,0.14
64.857,16.11,4.001,0.14
65.206,16.09,4.001,0.14
65.555,16.09,4.001,0.14
65.905,16.07,4.001,0.14
66.264,16.01,4.001,0.14
66.619,15.98,4.001,0.139
66.979,15.91,4.001,0.139
67.329,15.87,4.001,0.139
67.677,15.9,4.001,0.139
68.051,15.89,4.001,0.139
68.403,15.89,4.001,0.139
68.75,15.86,4.001,0.139
69.101,15.85,4.001,0.138
69.448,15.82,4.001,0.138
69.825,15.78,4.001,0.138
70.173,15.76,4.001,0.138
70.523,15.77,4.001,0.138
70.873,15.8,4.001,0.138
71.222,15.79,4.001,0.138
71.597,15.77,4.001,0.137
71.947,15.72,4.001,0.137
72.294,15.71,4.001,0.137
72.645,15.74,4.001,0.137
72.994,15.74,4.001,0.137
73.371,15.72,4.001,0.137
73.719,15.7,4.001,0.137
74.069,15.66,4.001,0.137
74.417,15.66,4.001,0.137
74.768,15.62,4.001,0.136
75.115,15.54,4.001,0.136
75.492,15.58,4.001,0.136
75.841,15.63,4.001,0.136
76.19,15.6,4.001,0.136
76.54,15.61,4.001,0.136
76.889,15.65,4.001,0.136
77.265,15.65,4.001,0.136
77.614,15.65,4.001,0.136
77.963,15.65,4.001,0.136
78.311,15.63,4.001,0.136
78.687,15.6,4.001,0.136
79.037,15.63,4.001,0.136
79.386,15.59,4.001,0.136
79.734,15.56,4.001,0.136
80.085,15.55,4.001,0.135
80.433,15.55,4.001,0.135
80.81,15.57,4.001,0.135
81.159,15.56,4.001,0.135
81.509,15.55,4.001,0.135
81.857,15.53,4.001,0.135
82.206,15.52,4.001,0.135
82.564,15.51,4.001,0.135
82.921,15.47,4.001,0.135
83.28,15.48,4.001,0.135
83.63,15.49,4.001,0.135
83.978,15.48,4.001,0.134
84.329,15.44,4.001,0.134
84.704,15.44,4.001,0.134
85.054,15.44,4.001,0.134
85.403,15.43,4.001,0.134
85.752,15.42,4.001,0.134
86.101,15.43,4.001,0.134
86.476,15.42,4.001,0.134
86.826,15.41,4.001,0.134
87.174,15.4,4.001,0.134
87.525,15.4,4.001,0.134
87.872,15.4,4.001,0.134
88.248,15.41,4.001,0.134
88.597,15.38,4.001,0.134
88.946,15.34,4.001,0.134
89.296,15.36,4.001,0.134
89.671,15.36,4.001,0.133
90.021,15.36,4.001,0.133
90.37,15.37,4.001,0.133
90.719,15.35,4.001,0.133
91.069,15.34,4.001,0.133
91.418,15.33,4.001,0.133
91.794,15.3,4.001,0.133
92.143,15.28,4.001,0.133
92.492,15.27,4.001,0.133
92.84,15.26,4.001,0.133
93.19,15.25,4.001,0.133
93.54,15.24,4.001,0.132
93.916,15.19,4.001,0.132
94.266,15.18,4.001,0.132
94.614,15.17,4.001,0.132
94.963,15.15,4.001,0.132
95.313,15.14,4.001,0.131
95.688,15.11,4.001,0.131
96.036,15.09,4.001,0.131
96.386,15.1,4.001,0.131
96.735,15.1,4.001,0.131
97.111,15.04,4.001,0.131
97.464,15.04,4.001,0.131
97.81,15.04,4.001,0.131
98.16,15.1,4.001,0.131
98.508,15.09,4.001,0.131
98.856,15.07,4.001,0.131
99.233,15.07,4.001,0.131
99.582,15.05,4.001,0.131
99.931,15.01,4.001,0.13
100.279,14.97,4.001,0.13
100.629,14.97,4.001,0.13
100.988,14.98,4.001,0.13
101.344,14.96,4.001,0.13
101.703,14.92,4.001,0.13
102.053,14.92,4.001,0.13
102.402,14.94,4.001,0.13
102.751,14.88,4.001,0.129
103.128,14.88,4.001,0.129
103.476,14.9,4.001,0.13
103.825,14.96,4.001,0.13
104.175,14.93,4.001,0.13
104.523,14.96,4.001,0.13
104.899,14.95,4.001,0.129
105.249,14.93,4.001,0.129
105.597,14.92,4.001,0.129
105.947,14.92,4.001,0.129
106.332,14.9,4.001,0.129
106.688,14.9,4.001,0.129
107.047,14.89,4.001,0.129
107.425,14.91,4.001,0.129
107.772,14.9,4.001,0.129
108.123,14.9,4.001,0.129
108.47,14.88,4.001,0.129
108.821,14.87,4.001,0.129
109.169,14.87,4.001,0.129
109.546,14.87,4.001,0.129
109.894,14.86,4.001,0.129
110.243,14.86,4.001,0.129
110.593,14.85,4.001,0.129
110.943,14.83,4.001,0.128
111.319,14.84,4.001,0.128
111.666,14.84,4.001,0.128
112.016,14.83,4.001,0.128
112.365,14.84,4.001,0.128
112.714,14.84,4.001,0.128
113.09,14.84,4.001,0.128
113.44,14.8,4.001,0.128
113.79,14.8,4.001,0.128
114.139,14.73,4.001,0.128
114.487,14.73,4.001,0.127
114.881,14.69,4.001,0.128
115.269,14.74,4.001,0.127
115.642,14.72,4.001,0.127
115.991,14.7,4.001,0.127
116.34,14.7,4.001,0.127
116.69,14.68,4.001,0.127
117.065,14.64,4.001,0.127
117.416,14.66,4.001,0.127
117.765,14.65,4.001,0.127
118.114,14.63,4.001,0.127
118.463,14.63,4.001,0.127
118.812,14.63,4.001,0.126
119.171,14.59,4.001,0.126
119.527,14.59,4.001,0.126
119.887,14.59,4.001,0.126
120.237,14.61,4.001,0.126
120.585,14.59,4.001,0.126
120.934,14.62,4.001,0.126
121.311,14.59,4.001,0.126
121.66,14.61,4.001,0.126
122.021,14.63,4.001,0.126
122.41,14.61,4.001,0.126
122.76,14.61,4.001,0.126
123.109,14.61,4.001,0.126
123.457,14.56,4.001,0.126
123.806,14.56,4.001,0.126
124.166,14.58,4.001,0.126
124.521,14.59,4.001,0.126
124.883,14.61,4.001,0.126
125.23,14.6,4.001,0.126
125.581,14.54,4.001,0.126
125.927,14.54,4.001,0.126
126.306,14.52,4.001,0.126
126.655,14.53,4.001,0.125
127.004,14.52,4.001,0.125
127.353,14.52,4.001,0.125
127.702,14.54,4.001,0.126
128.077,14.55,4.001,0.125
128.426,14.53,4.001,0.125
128.775,14.52,4.001,0.125
129.124,14.52,4.001,0.125
129.475,14.5,4.001,0.125
129.849,14.49,4.001,0.125
130.199,14.48,4.001,0.125
130.548,14.44,4.001,0.125
130.896,14.41,4.001,0.125
131.246,14.43,4.001,0.125
131.622,14.41,4.001,0.125
131.972,14.41,4.001,0.124
132.321,14.38,4.001,0.124
132.671,14.41,4.001,0.125
133.019,14.43,4.001,0.124
133.369,14.41,4.001,0.124
133.744,14.41,4.001,0.124
134.094,14.39,4.001,0.124
134.443,14.41,4.001,0.124
134.791,14.42,4.001,0.124
135.142,14.42,4.001,0.124
135.49,14.42,4.001,0.124
135.868,14.41,4.001,0.124
136.216,14.39,4.001,0.124
136.565,14.4,4.001,0.124
136.915,14.39,4.001,0.124
137.264,14.37,4.001,0.124
137.64,14.4,4.001,0.124
137.987,14.41,4.001,0.124
138.338,14.41,4.001,0.124
138.686,14.4,4.001,0.124
139.062,14.39,4.001,0.124
139.411,14.35,4.001,0.124
139.76,14.37,4.001,0.124
140.109,14.36,4.001,0.124
140.459,14.34,4.001,0.124
140.808,14.34,4.001,0.124
141.184,14.33,4.001,0.124
141.533,14.33,4.001,0.123
141.881,14.31,4.001,0.123
142.231,14.28,4.001,0.123
142.581,14.28,4.001,0.123
142.93,14.28,4.001,0.123
143.305,14.28,4.001,0.123
143.655,14.26,4.001,0.123
144.005,14.25,4.001,0.123
144.353,14.23,4.001,0.123
144.703,14.23,4.001,0.123
145.051,14.22,4.001,0.123
145.437,14.23,4.001,0.123
145.83,14.23,4.001,0.123
146.196,14.24,4.001,0.123
146.556,14.23,4.001,0.123
146.904,14.23,4.001,0.123
147.281,14.22,4.001,0.122
147.631,14.18,4.001,0.122
147.98,14.19,4.001,0.122
148.329,14.18,4.001,0.122
148.679,14.19,4.001,0.122
149.028,14.19,4.001,0.122
149.403,14.18,4.001,0.122
149.755,14.17,4.001,0.122
150.101,14.17,4.001,0.122
150.451,14.18,4.001,0.122
150.8,14.17,4.001,0.122
151.175,14.16,4.001,0.122
151.525,14.14,4.001,0.122
151.873,14.11,4.001,0.122
152.224,14.09,4.001,0.121
152.571,14.07,4.001,0.121
152.949,14.04,4.001,0.121
153.298,14.05,4.001,0.122
153.645,14.07,4.001,0.121
153.997,14.07,4.001,0.121
154.345,14.07,4.001,0.121
154.72,14.07,4.001,0.121
155.07,14.05,4.001,0.121
155.421,14.02,4.001,0.121
155.768,14.02,4.001,0.121
156.119,14.01,4.001,0.121
156.467,14.01,4.001,0.121
156.843,14.01,4.001,0.121
157.192,14.02,4.001,0.121
157.542,14.02,4.001,0.121
157.891,14.02,4.001,0.121
158.24,14,4.001,0.121
158.589,14.02,4.001,0.121
158.964,14.04,4.001,0.121
159.314,14.05,4.001,0.121
159.662,14.05,4.001,0.121
160.012,14.05,4.001,0.121
160.362,14.05,4.001,0.121
160.736,14.05,4.001,0.121
161.085,14.04,4.001,0.12
161.434,13.96,4.001,0.121
161.784,14,4.001,0.12
162.144,14.01,4.001,0.12
162.524,14,4.001,0.12
162.886,13.99,4.001,0.12
163.244,13.99,4.001,0.12
163.6,14,4.001,0.12
163.96,14,4.001,0.12
164.308,13.99,4.001,0.12
164.659,13.99,4.001,0.12
165.008,13.98,4.001,0.12
165.368,13.9,4.001,0.12
165.723,13.93,4.001,0.12
166.08,13.93,4.001,0.12
166.432,13.91,4.001,0.12
166.78,13.9,4.001,0.12
167.157,13.91,4.001,0.119
167.506,13.88,4.001,0.119
167.854,13.83,4.001,0.119
168.204,13.87,4.001,0.119
168.552,13.84,4.001,0.119
168.928,13.81,4.001,0.119
169.278,13.86,4.001,0.119
169.626,13.87,4.001,0.119
169.977,13.87,4.001,0.119
170.325,13.86,4.001,0.119
170.674,13.86,4.001,0.119
171.052,13.87,4.001,0.119
171.399,13.87,4.001,0.119
171.749,13.86,4.001,0.119
172.099,13.88,4.001,0.119
172.447,13.88,4.001,0.119
172.823,13.88,4.001,0.119
173.173,13.88,4.001,0.119
173.523,13.89,4.001,0.119
173.872,13.88,4.001,0.119
174.22,13.88,4.001,0.119
174.57,13.87,4.001,0.119
174.946,13.86,4.001,0.119
175.293,13.86,4.001,0.119
175.644,13.86,4.001,0.119
175.992,13.86,4.001,0.119
176.342,13.85,4.001,0.119
176.717,13.81,4.001,0.119
177.067,13.82,4.001,0.119
177.415,13.82,4.001,0.118
177.764,13.79,4.001,0.118
178.113,13.79,4.001,0.118
178.489,13.78,4.001,0.118
178.839,13.8,4.001,0.118
179.187,13.8,4.001,0.118
179.538,13.81,4.001,0.118
179.887,13.81,4.001,0.118
180.236,13.81,4.001,0.118
180.613,13.8,4.001,0.118
180.961,13.8,4.001,0.118
181.31,13.77,4.001,0.118
181.66,13.78,4.001,0.118
182.021,13.76,4.001,0.118
182.385,13.78,4.001,0.118
182.733,13.77,4.001,0.118
183.083,13.77,4.001,0.118
183.432,13.78,4.001,0.118
183.781,13.78,4.001,0.118
184.157,13.77,4.001,0.118
184.506,13.77,4.001,0.118
184.855,13.76,4.001,0.118
185.205,13.76,4.001,0.118
185.553,13.76,4.001,0.118
185.929,13.75,4.001,0.117
186.277,13.71,4.001,0.117
186.629,13.72,4.001,0.117
186.977,13.72,4.001,0.117
187.325,13.72,4.001,0.117
187.675,13.71,4.001,0.117
188.052,13.71,4.001,0.117
188.4,13.7,4.001,0.117
188.749,13.7,4.001,0.117
189.099,13.7,4.001,0.117
189.448,13.69,4.001,0.117
189.796,13.7,4.001,0.117
190.174,13.68,4.001,0.117
190.522,13.67,4.001,0.117
190.871,13.66,4.001,0.117
191.22,13.64,4.001,0.117
191.569,13.64,4.001,0.117
191.946,13.63,4.001,0.116
192.295,13.62,4.001,0.116
192.644,13.61,4.001,0.116
192.993,13.61,4.001,0.116
193.343,13.61,4.001,0.116
193.717,13.62,4.001,0.116
194.068,13.62,4.001,0.116
194.415,13.61,4.001,0.116
194.766,13.6,4.001,0.116
195.114,13.58,4.001,0.116
195.49,13.57,4.001,0.116
195.839,13.54,4.001,0.116
196.187,13.54,4.001,0.116
196.539,13.57,4.001,0.116
196.887,13.57,4.001,0.116
197.246,13.56,4.001,0.116
197.601,13.54,4.001,0.116
197.961,13.54,4.001,0.116
198.311,13.53,4.001,0.116
198.658,13.53,4.001,0.115
199.035,13.5,4.001,0.115
199.384,13.46,4.001,0.115
199.735,13.47,4.001,0.115
200.083,13.43,4.001,0.115
200.433,13.47,4.001,0.115
200.781,13.47,4.001,0.115
201.158,13.47,4.001,0.115
201.508,13.46,4.001,0.115
201.857,13.47,4.001,0.115
202.206,13.47,4.001,0.115
202.555,13.48,4.001,0.115
202.931,13.49,4.001,0.115
203.279,13.5,4.001,0.115
203.629,13.5,4.001,0.115
203.978,13.51,4.001,0.115
204.329,13.51,4.001,0.115
204.703,13.5,4.001,0.115
205.051,13.5,4.001,0.115
205.401,13.5,4.001,0.115
205.751,13.49,4.001,0.115
206.1,13.48,4.001,0.115
206.475,13.49,4.001,0.115
206.825,13.49,4.001,0.115
207.174,13.49,4.001,0.115
207.522,13.49,4.001,0.115
207.871,13.44,4.001,0.115
208.22,13.45,4.001,0.115
208.597,13.43,4.001,0.114
208.946,13.38,4.001,0.114
209.296,13.4,4.001,0.114
209.645,13.41,4.001,0.114
209.996,13.4,4.001,0.114
210.37,13.4,4.001,0.114
210.719,13.4,4.001,0.114
211.068,13.41,4.001,0.114
211.417,13.41,4.001,0.114
211.768,13.4,4.001,0.114
212.115,13.38,4.001,0.114
212.493,13.37,4.001,0.114
212.841,13.37,4.001,0.114
213.191,13.37,4.001,0.114
213.539,13.36,4.001,0.114
213.914,13.33,4.001,0.114
214.263,13.32,4.001,0.114
214.613,13.32,4.001,0.114
214.961,13.31,4.001,0.114
215.311,13.3,4.001,0.113
215.66,13.29,4.001,0.114
216.035,13.29,4.001,0.113
216.385,13.27,4.001,0.113
216.735,13.29,4.001,0.114
217.083,13.28,4.001,0.113
217.433,13.28,4.001,0.113
217.782,13.3,4.001,0.114
218.158,13.3,4.001,0.113
218.507,13.29,4.001,0.113
218.859,13.31,4.001,0.113
219.206,13.32,4.001,0.113
219.557,13.31,4.001,0.113
219.933,13.29,4.001,0.113
220.28,13.29,4.001,0.113
220.631,13.3,4.001,0.113
220.979,13.31,4.001,0.114
221.329,13.31,4.001,0.114
221.679,13.32,4.001,0.114
222.055,13.34,4.001,0.114
222.402,13.34,4.001,0.114
222.752,13.32,4.001,0.113
223.101,13.31,4.001,0.113
223.476,13.31,4.001,0.113
223.826,13.29,4.001,0.113
224.175,13.29,4.001,0.113
224.524,13.29,4.001,0.113
224.873,13.29,4.001,0.113
225.223,13.27,4.001,0.113
225.598,13.28,4.001,0.113
225.947,13.27,4.001,0.113
226.296,13.28,4.001,0.113
226.646,13.28,4.001,0.113
226.994,13.28,4.001,0.113
227.344,13.3,4.001,0.113
227.721,13.3,4.001,0.113
228.069,13.31,4.001,0.113
228.419,13.31,4.001,0.113
228.768,13.31,4.001,0.113
229.118,13.31,4.001,0.113
229.494,13.28,4.001,0.113
229.841,13.27,4.001,0.113
230.192,13.24,4.001,0.113
230.541,13.24,4.001,0.113
230.89,13.22,4.001,0.113
231.265,13.21,4.001,0.113
231.614,13.2,4.001,0.113
231.963,13.2,4.001,0.113
232.313,13.21,4.001,0.113
232.661,13.19,4.001,0.113
233.038,13.18,4.001,0.112
233.386,13.18,4.001,0.112
233.736,13.18,4.001,0.112
234.085,13.17,4.001,0.112
234.434,13.14,4.001,0.112
234.81,13.16,4.001,0.112
235.158,13.17,4.001,0.112
235.508,13.17,4.001,0.112
235.858,13.14,4.001,0.112
236.207,13.14,4.001,0.112
236.585,13.14,4.001,0.112
236.932,13.15,4.001,0.112
237.282,13.14,4.001,0.112
237.631,13.16,4.001,0.112
237.981,13.16,4.001,0.112
238.329,13.17,4.001,0.112
238.705,13.17,4.001,0.112
239.055,13.16,4.001,0.112
239.403,13.14,4.001,0.112
239.752,13.14,4.001,0.112
240.103,13.16,4.001,0.112
240.451,13.16,4.001,0.112
240.826,13.16,4.001,0.112
241.177,13.15,4.001,0.112
241.525,13.15,4.001,0.112
241.875,13.15,4.001,0.112
242.235,13.15,4.001,0.112
242.598,13.16,4.001,0.112
242.948,13.17,4.001,0.112
243.297,13.15,4.001,0.111
243.646,13.06,4.001,0.111
243.994,13.06,4.001,0.111
244.371,13.05,4.001,0.111
244.72,13.03,4.001,0.111
245.069,13.03,4.001,0.111
245.418,13.02,4.001,0.111
245.766,12.99,4.001,0.111
246.144,13,4.001,0.111
246.492,13.02,4.001,0.111
246.843,13.04,4.001,0.111
247.191,13.05,4.001,0.111
247.54,13.04,4.001,0.111
247.889,13.04,4.001,0.111
248.265,13.04,4.001,0.111
248.615,13.04,4.001,0.111
248.964,13.05,4.001,0.111
249.312,13.03,4.001,0.111
249.662,13.01,4.001,0.111
250.022,12.99,4.001,0.111
250.377,13,4.001,0.11
250.737,12.96,4.001,0.11
251.084,12.98,4.001,0.11
251.435,12.95,4.001,0.11
251.81,12.97,4.001,0.11
252.16,13,4.001,0.11
252.508,12.99,4.001,0.111
252.857,13.01,4.001,0.11
253.206,13.01,4.001,0.11
253.581,13.02,4.001,0.11
253.932,13.01,4.001,0.11
254.282,12.99,4.001,0.11
254.629,13,4.001,0.11
254.979,13,4.001,0.11
255.328,13,4.001,0.11
255.706,12.99,4.001,0.11
256.054,12.96,4.001,0.11
256.403,12.97,4.001,0.11
256.751,12.97,4.001,0.11
257.102,12.97,4.001,0.11
257.451,13,4.001,0.11
257.828,13.01,4.001,0.11
258.178,12.99,4.001,0.11
258.527,13.01,4.001,0.11
258.875,13.02,4.001,0.11
259.224,13.01,4.001,0.11
259.6,13.01,4.001,0.11
259.947,13.02,4.001,0.11
260.298,12.98,4.001,0.11
260.645,12.94,4.001,0.11
261.022,12.94,4.001,0.11
261.371,12.95,4.001,0.11
261.72,12.95,4.001,0.11
262.07,12.94,4.001,0.11
262.419,12.95,4.001,0.11
262.768,12.95,4.001,0.11
263.145,12.95,4.001,0.109
263.492,12.94,4.001,0.109
263.842,12.93,4.001,0.11
264.191,12.93,4.001,0.109
264.541,12.94,4.001,0.109
264.89,12.92,4.001,0.109
265.265,12.91,4.001,0.109
265.615,12.89,4.001,0.109
265.965,12.84,4.001,0.109
266.314,12.9,4.001,0.109
266.663,12.9,4.001,0.109
267.039,12.91,4.001,0.109
267.388,12.91,4.001,0.109
267.737,12.92,4.001,0.109
268.086,12.94,4.001,0.109
268.436,12.93,4.001,0.109
268.81,12.92,4.001,0.109
269.161,12.91,4.001,0.109
269.509,12.88,4.001,0.109
269.86,12.9,4.001,0.109
270.207,12.89,4.001,0.109
270.582,12.87,4.001,0.109
270.933,12.88,4.001,0.109
271.282,12.87,4.001,0.109
271.631,12.9,4.001,0.109
271.98,12.89,4.001,0.109
272.355,12.9,4.001,0.109
272.705,12.91,4.001,0.109
273.054,12.91,4.001,0.109
273.404,12.9,4.001,0.109
273.753,12.89,4.001,0.109
274.129,12.9,4.001,0.109
274.478,12.91,4.001,0.108
274.828,12.87,4.001,0.108
275.177,12.88,4.001,0.109
275.526,12.9,4.001,0.108
275.874,12.9,4.001,0.108
276.251,12.89,4.001,0.108
276.6,12.87,4.001,0.108
276.949,12.81,4.001,0.108
277.298,12.79,4.001,0.108
277.649,12.83,4.001,0.108
278.024,12.82,4.001,0.108
278.373,12.83,4.001,0.108
278.722,12.85,4.001,0.108
279.07,12.85,4.001,0.108
279.432,12.85,4.001,0.108
279.795,12.84,4.001,0.108
280.145,12.83,4.001,0.108
280.494,12.79,4.001,0.108
280.843,12.8,4.001,0.107
281.192,12.76,4.001,0.107
281.551,12.8,4.001,0.107
281.934,12.78,4.001,0.107
282.294,12.8,4.001,0.107
282.669,12.78,4.001,0.107
283.019,12.77,4.001,0.107
283.369,12.71,4.001,0.107
283.717,12.75,4.001,0.107
284.067,12.79,4.001,0.107
284.415,12.79,4.001,0.107
284.791,12.78,4.001,0.107
285.141,12.81,4.001,0.107
285.491,12.82,4.001,0.107
285.837,12.79,4.001,0.107
286.188,12.77,4.001,0.107
286.563,12.78,4.001,0.107
286.913,12.77,4.001,0.107
287.262,12.8,4.001,0.107
287.611,12.82,4.001,0.107
287.959,12.82,4.001,0.107
288.335,12.82,4.001,0.107
288.686,12.82,4.001,0.107
289.035,12.82,4.001,0.107
289.384,12.81,4.001,0.107
289.733,12.81,4.001,0.107
290.082,12.8,4.001,0.107
290.459,12.79,4.001,0.107
290.808,12.79,4.001,0.107
291.157,12.79,4.001,0.107
291.506,12.77,4.001,0.107
291.857,12.79,4.001,0.107
292.206,12.75,4.001,0.106
292.582,12.73,4.001,0.106
292.929,12.7,4.001,0.106
293.29,12.66,4.001,0.106
293.682,12.72,4.001,0.106
294.031,12.73,4.001,0.106
294.379,12.72,4.001,0.106
294.729,12.73,4.001,0.106
295.107,12.75,4.001,0.106
295.454,12.73,4.001,0.106
295.804,12.75,4.001,0.106
296.153,12.77,4.001,0.106
296.503,12.78,4.001,0.106
296.851,12.78,4.001,0.106
297.227,12.78,4.001,0.106
297.577,12.78,4.001,0.106
297.926,12.77,4.001,0.106
298.274,12.77,4.001,0.106
298.624,12.77,4.001,0.106
299,12.77,4.001,0.106
299.348,12.77,4.001,0.106
299.697,12.77,4.001,0.106
300.047,12.77,4.001,0.106
300.423,12.76,4.001,0.106
