Time (s),Current (A),Voltage (V),Torque 2V (N · m)
0,50.08,9.795,0.402
0.364,50.01,10.211,0.402
0.741,50.01,10.628,0.402
1.145,50.01,11.015,0.402
1.524,50.01,11.411,0.402
1.906,50.01,11.795,0.402
2.256,49.68,12.001,0.394
2.603,48.22,12,0.387
2.954,46.99,12,0.38
3.302,45.93,12,0.373
3.653,44.95,12,0.367
4.027,43.98,12,0.36
4.377,43.15,12,0.354
4.726,42.41,12,0.349
5.075,41.71,12,0.344
5.424,41.05,12,0.34
5.8,40.54,12,0.335
6.149,39.9,12,0.33
6.499,39.36,12,0.326
6.848,38.81,12,0.322
7.197,38.34,12,0.318
7.546,37.89,12,0.315
7.923,37.45,12,0.312
8.271,37.07,12,0.309
8.621,36.73,12,0.306
8.97,36.42,12,0.304
9.32,36.1,12,0.301
9.696,35.79,12,0.299
10.046,35.5,12,0.296
10.395,35.2,12,0.294
10.743,34.93,12,0.292
11.093,34.67,12,0.29
11.442,34.42,12,0.288
11.817,34.19,12,0.285
12.165,33.89,12,0.283
12.516,33.68,12,0.281
12.864,33.43,12,0.28
13.216,33.25,12,0.278
13.564,33.11,12,0.277
13.939,32.95,12,0.276
14.289,32.81,12,0.274
14.639,32.64,12,0.273
14.987,32.49,12,0.272
15.363,32.33,12,0.271
15.713,32.25,12,0.269
16.062,32.06,12,0.273
16.411,33.04,12,0.274
16.759,33.09,12,0.275
17.109,33.22,12,0.278
17.486,33.63,12,0.28
17.835,33.98,12,0.284
18.185,34.66,12,0.284
18.551,34.55,12,0.282
18.936,35.69,12,0.281
19.285,35.63,12,0.206
19.635,50.07,6.948,0.125
19.984,50.02,5.652,0.077
20.36,50.03,4.241,0.084
20.709,50.02,4.086,0.079
21.059,49.99,3.549,0.067
21.407,50.01,3.707,0.07
21.758,50.02,3.734,0.066
22.105,50.03,3.527,0.067
22.456,50.01,3.488,0.065
22.831,50,3.493,0.032
23.179,50.15,2.235,0.03
23.531,50.02,2.45,0.035
23.879,50.01,2.454,0.034
24.229,50.02,2.406,0.034
24.605,50.01,2.346,0.033
24.953,50.02,2.317,0.033
25.303,50.01,2.304,0.032
25.652,50.01,2.279,0.032
26.001,50.02,2.293,0.028
26.376,50.01,2.321,0.027
26.726,50.02,2.329,0.026
27.074,50.01,2.336,0.026
27.424,50.02,2.333,0.026
27.772,50.01,2.336,0.025
28.148,50.01,2.34,0.025
28.497,50.01,2.336,0.025
28.846,50.01,2.335,0.025
29.196,50.02,2.329,0.025
29.545,50.02,2.324,0.025
29.921,50.02,2.323,0.025
30.269,50.02,2.324,0.025
30.621,50.01,2.32,0.025
30.969,50.01,2.312,0.025
31.318,50.01,2.304,0.024
31.694,50.01,2.188,0.023
32.043,50.01,2.045,0.022
32.392,50.02,2.032,0.022
32.74,50.02,2.025,0.022
33.091,50.01,2.02,0.021
33.467,50.01,2.014,0.021
33.815,50.01,2.008,0.021
34.166,50.01,2.001,0.021
34.515,50.01,1.994,0.021
34.864,50.01,1.988,0.021
35.212,50.01,1.988,0.021
