Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.358,71.235,854.82,0,0,854.82
142.699,0.35442,70.56,846.72,5.296,0.625,841.424
285.397,0.35084,69.885,838.62,10.485,1.25,828.135
428.096,0.34726,69.21,830.52,15.568,1.874,814.952
570.795,0.34368,68.535,822.42,20.543,2.498,801.877
713.493,0.3401,67.861,814.332,25.411,3.12,788.921
856.192,0.33652,67.186,806.232,30.172,3.742,776.06
998.89,0.33294,66.511,798.132,34.827,4.364,763.305
1141.589,0.32936,65.836,790.032,39.374,4.984,750.658
1284.288,0.32578,65.161,781.932,43.814,5.603,738.118
1426.986,0.3222,64.486,773.832,48.148,6.222,725.684
1569.685,0.31862,63.811,765.732,52.374,6.84,713.358
1712.384,0.31504,63.136,757.632,56.493,7.457,701.139
1855.082,0.31146,62.461,749.532,60.505,8.072,689.027
1997.781,0.30788,61.786,741.432,64.411,8.687,677.021
2140.479,0.3043,61.112,733.344,68.209,9.301,665.135
2283.178,0.30072,60.437,725.244,71.9,9.914,653.344
2425.877,0.29714,59.762,717.144,75.485,10.526,641.659
2568.575,0.29356,59.087,709.044,78.962,11.136,630.082
2711.274,0.28998,58.412,700.944,82.332,11.746,618.612
2853.973,0.2864,57.737,692.844,85.596,12.354,607.248
2996.671,0.28282,57.062,684.744,88.752,12.961,595.992
3139.37,0.27924,56.387,676.644,91.801,13.567,584.843
3282.068,0.27566,55.712,668.544,94.744,14.172,573.8
3424.767,0.27208,55.037,660.444,97.579,14.775,562.865
3567.466,0.2685,54.363,652.356,100.307,15.376,552.049
3710.164,0.26492,53.688,644.256,102.929,15.976,541.327
3852.863,0.26134,53.013,636.156,105.443,16.575,530.713
3995.562,0.25776,52.338,628.056,107.85,17.172,520.206
4138.26,0.25418,51.663,619.956,110.151,17.768,509.805
4280.959,0.2506,50.988,611.856,112.344,18.361,499.512
4423.658,0.24702,50.313,603.756,114.431,18.953,489.325
4566.356,0.24344,49.638,595.656,116.41,19.543,479.246
4709.055,0.23986,48.963,587.556,118.282,20.131,469.274
4851.753,0.23628,48.288,579.456,120.048,20.717,459.408
4994.452,0.2327,47.614,571.368,121.706,21.301,449.662
5137.151,0.22912,46.939,563.268,123.258,21.883,440.01
5279.849,0.22554,46.264,555.168,124.702,22.462,430.466
5422.548,0.22196,45.589,547.068,126.04,23.039,421.028
5565.247,0.21838,44.914,538.968,127.27,23.614,411.698
5707.945,0.2148,44.239,530.868,128.393,24.185,402.475
5850.644,0.21122,43.564,522.768,129.41,24.755,393.358
5993.342,0.20764,42.889,514.668,130.319,25.321,384.349
6136.041,0.20406,42.214,506.568,131.122,25.884,375.446
6278.74,0.20048,41.539,498.468,131.817,26.444,366.651
6421.438,0.1969,40.865,490.38,132.406,27.001,357.974
6564.137,0.19332,40.19,482.28,132.887,27.554,349.393
6706.836,0.18974,39.515,474.18,133.262,28.104,340.918
6849.534,0.18616,38.84,466.08,133.529,28.649,332.551
6992.233,0.18258,38.165,457.98,133.69,29.191,324.29
7134.932,0.179,37.49,449.88,133.743,29.729,316.137
7277.63,0.17542,36.815,441.78,133.69,30.262,308.09
7420.329,0.17184,36.14,433.68,133.529,30.79,300.151
7563.027,0.16826,35.465,425.58,133.262,31.313,292.318
7705.726,0.16468,34.79,417.48,132.887,31.831,284.593
7848.425,0.1611,34.116,409.392,132.406,32.342,276.986
7991.123,0.15752,33.441,401.292,131.817,32.848,269.475
8133.822,0.15394,32.766,393.192,131.122,33.348,262.07
8276.521,0.15036,32.091,385.092,130.319,33.841,254.773
8419.219,0.14678,31.416,376.992,129.41,34.327,247.582
8561.918,0.1432,30.741,368.892,128.393,34.805,240.499
8704.616,0.13962,30.066,360.792,127.27,35.275,233.522
8847.315,0.13604,29.391,352.692,126.04,35.737,226.652
8990.014,0.13246,28.716,344.592,124.702,36.188,219.89
9132.712,0.12888,28.041,336.492,123.258,36.63,213.234
9275.411,0.1253,27.367,328.404,121.706,37.06,206.698
9418.11,0.12172,26.692,320.304,120.048,37.479,200.256
9560.808,0.11814,26.017,312.204,118.282,37.886,193.922
9703.507,0.11456,25.342,304.104,116.41,38.28,187.694
9846.205,0.11098,24.667,296.004,114.431,38.659,181.573
9988.904,0.1074,23.992,287.904,112.344,39.021,175.56
10131.603,0.10382,23.317,279.804,110.151,39.367,169.653
10274.301,0.10024,22.642,271.704,107.85,39.694,163.854
10417,0.09666,21.967,263.604,105.443,40.001,158.161
10559.699,0.09308,21.292,255.504,102.929,40.285,152.575
10702.397,0.0895,20.618,247.416,100.307,40.542,147.109
10845.096,0.08592,19.943,239.316,97.579,40.774,141.737
10987.795,0.08234,19.268,231.216,94.744,40.976,136.472
11130.493,0.07876,18.593,223.116,91.801,41.145,131.315
11273.192,0.07518,17.918,215.016,88.752,41.277,126.264
11415.89,0.0716,17.243,206.916,85.596,41.368,121.32
11558.589,0.06802,16.568,198.816,82.332,41.411,116.484
11701.288,0.06444,15.893,190.716,78.962,41.403,111.754
11843.986,0.06086,15.218,182.616,75.485,41.335,107.131
11986.685,0.05728,14.543,174.516,71.9,41.2,102.616
12129.384,0.0537,13.869,166.428,68.209,40.984,98.219
12272.082,0.05012,13.194,158.328,64.411,40.682,93.917
12414.781,0.04654,12.519,150.228,60.505,40.275,89.723
12557.479,0.04296,11.844,142.128,56.493,39.748,85.635
12700.178,0.03938,11.169,134.028,52.374,39.077,81.654
12842.877,0.0358,10.494,125.928,48.148,38.235,77.78
12985.575,0.03222,9.819,117.828,43.814,37.185,74.014
13128.274,0.02864,9.144,109.728,39.374,35.883,70.354
13270.973,0.02506,8.469,101.628,34.827,34.269,66.801
13413.671,0.02148,7.794,93.528,30.172,32.26,63.356
13556.37,0.0179,7.12,85.44,25.411,29.741,60.029
13699.068,0.01432,6.445,77.34,20.543,26.562,56.797
13841.767,0.01074,5.77,69.24,15.568,22.484,53.672
13984.466,0.00716,5.095,61.14,10.485,17.149,50.655
14127.164,0.00358,4.42,53.04,5.296,9.985,47.744
14269.863,0,3.745,44.94,0,0,44.94
