Time,Amps,Volts,Torque 12V (N · m)
0.002,81.77,12,1.429
0.405,80.7,12,1.418
0.833,79.69,12,1.406
1.201,78.77,12,1.395
1.606,77.76,12.001,1.384
1.989,76.87,12,1.373
2.362,76.01,12,1.362
2.712,75.14,12,1.352
3.06,74.33,12,1.34
3.437,73.4,12,1.332
3.785,72.78,12,1.324
4.135,72.16,12,1.313
4.484,71.44,12,1.305
4.833,70.83,12,1.296
5.183,70.17,12,1.289
5.558,69.63,12,1.281
5.907,69.07,12,1.271
6.259,68.47,12,1.264
6.606,67.96,12,1.256
6.957,67.41,12,1.248
7.304,66.88,12,1.24
7.655,66.42,12,1.233
8.02,65.94,12,1.228
8.38,65.57,12,1.222
8.728,65.19,12,1.215
9.078,64.76,12,1.21
9.428,64.36,12,1.203
9.803,64,12,1.194
10.152,63.6,12,1.191
10.5,63.24,12,1.186
10.851,62.92,12,1.18
11.199,62.54,12,1.175
11.576,62.24,12,1.169
11.925,61.89,12,1.163
12.274,61.54,12,1.158
12.623,61.21,12,1.156
12.972,61.03,12,1.15
13.348,60.66,12,1.144
13.698,60.35,12,1.142
14.047,60.13,12,1.138
14.395,59.9,12,1.132
14.745,59.61,12,1.129
15.094,59.4,12,1.126
15.444,59.13,12,1.122
15.812,58.93,12,1.12
16.17,58.75,12,1.115
16.519,58.51,12,1.111
16.868,58.24,12,1.109
17.218,58.05,12,1.105
17.593,57.83,12,1.1
17.944,57.57,12,1.099
18.293,57.43,12,1.095
18.642,57.22,12,1.093
18.991,57.06,12,1.089
19.34,56.86,12,1.087
19.7,56.71,12,1.083
20.055,56.49,12,1.081
20.415,56.35,12,1.078
20.762,56.15,12,1.076
21.113,56.02,12,1.073
21.462,55.85,12,1.07
21.838,55.68,12,1.068
22.187,55.54,12,1.066
22.537,55.38,12,1.062
22.886,55.26,12,1.061
23.234,55.08,12.001,1.059
23.611,54.95,12,1.055
23.96,54.76,12,1.054
24.309,54.66,12,1.052
24.658,54.54,12,1.05
25.008,54.4,12,1.048
25.385,54.29,12,1.047
25.733,54.17,12,1.043
26.083,53.97,12,1.042
26.432,53.87,12,1.04
26.782,53.76,12,1.038
27.13,53.62,12,1.037
27.48,53.53,12,1.035
27.84,53.43,12,1.032
28.195,53.24,12,1.031
