Time,Amps,Volts,Torque 6V (N · m)
0.004,47.6,6.001,0.281
0.421,46.66,6.001,0.279
0.786,45.84,6.001,0.276
1.198,44.94,6.001,0.273
1.605,44.13,6.001,0.27
1.948,43.54,6.001,0.268
2.308,43.01,6.001,0.264
2.685,42.33,6.001,0.261
3.033,41.68,6.001,0.258
3.384,41.08,6.001,0.256
3.731,40.59,6.001,0.252
4.082,39.94,6.001,0.251
4.429,39.5,6.001,0.249
4.78,39.16,6.001,0.247
5.156,38.76,6.001,0.245
5.504,38.47,6.001,0.243
5.855,38.07,6.001,0.242
6.204,37.76,6.001,0.24
6.553,37.38,6.001,0.238
6.927,37.07,6.001,0.236
7.277,36.71,6.001,0.235
7.626,36.36,6.001,0.233
7.976,36.11,6.001,0.232
8.324,35.84,6.001,0.231
8.699,35.63,6.001,0.23
9.048,35.38,6.001,0.228
9.4,35.15,6.001,0.227
9.747,34.88,6.001,0.226
10.096,34.7,6.001,0.225
10.472,34.48,6.001,0.224
10.822,34.25,6.001,0.222
11.171,34.03,6.001,0.222
11.52,33.84,6.001,0.221
11.869,33.6,6.001,0.219
12.247,33.35,6.001,0.219
12.593,33.2,6.001,0.218
12.944,33.06,6.001,0.217
13.292,32.84,6.001,0.216
13.642,32.76,6.001,0.215
13.991,32.6,6.001,0.213
14.366,33.53,6.001,0.212
14.717,33.47,6.001,0.211
15.066,33.27,6.001,0.21
15.415,33.24,6.001,0.209
15.764,33.06,6.001,0.208
16.139,32.9,6.001,0.207
16.488,32.71,6.001,0.207
16.837,32.68,6.001,0.206
17.187,32.52,6.001,0.206
17.561,32.36,6.001,0.205
17.914,32.25,6.001,0.205
18.263,32.16,6.001,0.203
18.612,31.95,6.001,0.203
18.959,31.91,6.001,0.203
19.309,31.82,6.001,0.203
19.684,31.72,6.001,0.2
20.035,31.37,6.001,0.2
20.384,31.36,6.001,0.199
20.733,31.75,6.001,0.198
21.083,31.7,6.001,0.198
21.43,31.69,6.001,0.191
21.808,36.21,6.001,0.192
22.156,36.45,6.001,0.19
22.506,36.01,6.001,0.19
22.855,35.99,6.001,0.19
23.204,35.85,6.001,0.189
23.581,35.5,6.001,0.188
23.929,35.63,6.001,0.183
24.277,38.5,6.001,0.178
24.627,41.07,6.001,0.176
24.977,41.13,6.001,0.176
25.327,41.12,6.001,0.174
25.703,40.87,6.001,0.172
26.05,40.65,6.001,0.172
26.399,43.06,6.001,0.168
26.748,44.75,6.001,0.166
27.124,43.57,6.001,0.166
27.473,41.72,6.001,0.166
27.823,40.93,6.001,0.165
28.173,40.71,6.001,0.165
28.521,40.61,6.001,0.164
28.871,40.75,6.001,0.163
29.246,40.53,6.001,0.162
29.595,41.34,6.001,0.161
29.944,37.46,6.001,0.161
30.293,38.91,6.001,0.162
30.644,39.12,6.001,0.161
30.992,39.29,6.001,0.161
31.369,52.68,6.001,0.145
31.717,62.06,6.001,0.142
32.067,59.63,6.001,0.14
32.415,58.35,6.001,0.139
32.765,57.12,6.001,0.127
33.141,94.84,5.995,0.064
33.491,119.99,5.995,0.089
33.84,12.67,6.001,0.089
34.189,12.6,6.001,0.09
34.537,12.52,6.001,0.091
34.914,12.45,6.001,0.091
35.264,12.43,6.001,0.092
35.612,12.39,6.001,0.092
35.963,12.54,6.001,0.092
36.311,12.38,6.001,0.092
36.686,12.24,6.001,0.093
37.036,12.22,6.001,0.093
37.385,12.19,6.001,0.093
37.735,12.16,6.001,0.093
38.092,12.13,6.001,0.093
38.487,12.1,6.001,0.093
38.837,12.07,6.001,0.093
39.185,12.05,6.001,0.094
39.536,12.02,6.001,0.094
39.884,12,6.001,0.093
40.259,11.98,6.001,0.094
40.608,11.96,6.001,0.093
40.958,11.92,6.001,0.093
41.308,11.9,6.001,0.093
41.656,11.88,6.001,0.093
42.032,11.87,6.001,0.093
42.38,11.85,6.001,0.093
42.728,11.84,6.001,0.093
43.079,11.77,6.001,0.093
43.429,11.78,6.001,0.093
43.802,11.77,6.001,0.093
44.152,11.78,6.001,0.093
44.503,11.76,6.001,0.093
44.852,11.74,6.001,0.093
45.201,11.73,6.001,0.093
45.578,11.71,6.001,0.093
45.926,11.63,6.001,0.093
46.276,11.63,6.001,0.093
46.623,11.64,6.001,0.093
46.975,11.62,6.001,0.092
47.323,11.58,6.001,0.093
47.7,11.6,6.001,0.092
48.048,11.6,6.001,0.092
48.398,11.59,6.001,0.092
48.747,11.59,6.001,0.092
49.096,11.55,6.001,0.092
49.446,11.56,6.001,0.092
49.82,11.56,6.001,0.092
50.171,11.49,6.001,0.092
50.519,11.52,6.001,0.092
50.868,11.52,6.001,0.092
51.217,11.51,6.001,0.092
51.593,11.51,6.001,0.092
51.941,11.45,6.001,0.092
52.292,11.44,6.001,0.092
52.641,11.44,6.001,0.092
52.991,11.44,6.001,0.092
53.366,11.43,6.001,0.092
53.716,11.42,6.001,0.092
54.064,11.41,6.001,0.091
54.414,11.41,6.001,0.091
54.763,11.41,6.001,0.092
55.141,11.4,6.001,0.091
55.489,11.4,6.001,0.091
55.839,11.4,6.001,0.091
56.187,11.4,6.001,0.091
56.536,11.4,6.001,0.091
56.886,11.4,6.001,0.091
57.236,11.38,6.001,0.091
57.61,11.37,6.001,0.091
57.961,11.37,6.001,0.091
58.31,11.37,6.001,0.091
58.659,11.37,6.001,0.091
59.007,11.36,6.001,0.091
59.383,11.36,6.001,0.091
59.733,11.36,6.001,0.091
60.08,11.35,6.001,0.091
60.432,11.35,6.001,0.091
60.778,11.34,6.001,0.091
61.155,11.33,6.001,0.091
61.505,11.33,6.001,0.091
61.853,11.32,6.001,0.091
62.221,11.3,6.001,0.091
62.608,11.3,6.001,0.091
62.956,11.3,6.001,0.091
63.303,11.29,6.001,0.091
63.653,11.29,6.001,0.091
64.029,11.29,6.001,0.091
64.379,11.28,6.001,0.091
64.727,11.28,6.001,0.091
65.076,11.27,6.001,0.091
65.424,11.27,6.001,0.091
65.801,11.26,6.001,0.091
66.151,11.26,6.001,0.091
66.5,11.26,6.001,0.091
66.848,11.26,6.001,0.091
67.198,11.26,6.001,0.091
67.573,11.25,6.001,0.091
67.923,11.25,6.001,0.091
68.272,11.24,6.001,0.091
68.62,11.24,6.001,0.091
68.97,11.24,6.001,0.091
69.318,11.23,6.001,0.091
69.679,11.22,6.001,0.091
70.035,11.22,6.001,0.091
70.394,11.22,6.001,0.091
70.744,11.22,6.001,0.091
71.092,11.21,6.001,0.09
71.443,11.21,6.001,0.09
71.818,11.21,6.001,0.09
72.167,11.21,6.001,0.09
72.517,11.21,6.001,0.09
72.866,11.2,6.001,0.09
73.215,11.19,6.001,0.09
73.59,11.19,6.001,0.09
73.94,11.19,6.001,0.09
74.288,11.19,6.001,0.09
74.637,11.19,6.001,0.09
74.984,11.18,6.001,0.09
75.362,11.18,6.001,0.09
75.71,11.18,6.001,0.09
76.059,11.18,6.001,0.09
76.409,11.16,6.001,0.09
76.785,11.16,6.001,0.09
77.135,11.15,6.001,0.09
77.483,11.14,6.001,0.089
77.833,11,6.001,0.09
78.182,11.03,6.001,0.09
78.532,11.04,6.001,0.09
78.908,11.04,6.001,0.09
79.255,11.04,6.001,0.09
79.606,11.03,6.001,0.09
79.955,11.03,6.001,0.09
80.305,11.03,6.001,0.09
80.653,11.03,6.001,0.09
81.03,11.03,6.001,0.09
81.378,11.03,6.001,0.09
81.728,11.03,6.001,0.09
82.078,11.03,6.001,0.09
82.426,11.03,6.001,0.09
82.776,11.03,6.001,0.09
83.151,11.03,6.001,0.09
83.501,11.03,6.001,0.09
83.849,11.04,6.001,0.09
84.199,11.04,6.001,0.089
84.548,11.04,6.001,0.09
84.923,11.03,6.001,0.089
85.273,11.02,6.001,0.089
85.623,11.02,6.001,0.089
85.971,11.02,6.001,0.089
86.346,11.01,6.001,0.089
86.696,11.01,6.001,0.089
87.045,11.01,6.001,0.089
87.394,11.02,6.001,0.089
87.744,11.01,6.001,0.089
88.093,11.01,6.001,0.089
88.47,11.01,6.001,0.089
88.818,10.97,6.001,0.089
89.169,10.98,6.001,0.089
89.517,11,6.001,0.089
89.866,11.01,6.001,0.089
90.216,11,6.001,0.089
90.591,11.01,6.001,0.089
90.941,11,6.001,0.089
91.291,11.01,6.001,0.089
91.64,11.01,6.001,0.089
91.988,11.01,6.001,0.089
92.364,11,6.001,0.089
92.712,11,6.001,0.089
93.067,10.98,6.001,0.089
93.464,10.99,6.001,0.089
93.815,10.99,6.001,0.089
94.163,10.99,6.001,0.089
94.513,10.99,6.001,0.089
94.861,10.98,6.001,0.089
95.211,10.98,6.001,0.088
95.587,10.76,6.001,0.088
95.936,10.85,6.001,0.088
96.285,10.88,6.001,0.088
96.636,10.89,6.001,0.088
96.983,10.9,6.001,0.088
97.36,10.89,6.001,0.088
97.709,10.9,6.001,0.088
98.057,10.9,6.001,0.088
98.408,10.91,6.001,0.088
98.756,10.92,6.001,0.088
99.132,10.92,6.001,0.088
99.481,10.92,6.001,0.088
99.83,10.92,6.001,0.088
100.18,10.91,6.001,0.088
100.528,10.9,6.001,0.088
100.904,10.9,6.001,0.088
101.254,10.89,6.001,0.088
101.602,10.89,6.001,0.088
101.952,10.89,6.001,0.088
102.327,10.9,6.001,0.088
102.678,10.89,6.001,0.088
103.027,10.72,6.001,0.088
103.376,10.89,6.001,0.088
103.725,10.89,6.001,0.088
104.074,10.9,6.001,0.088
104.424,10.9,6.001,0.088
104.799,10.9,6.001,0.088
105.15,10.9,6.001,0.088
105.5,10.9,6.001,0.088
105.848,10.9,6.001,0.088
106.197,10.89,6.001,0.088
106.547,10.89,6.001,0.088
106.921,10.89,6.001,0.088
107.271,10.88,6.001,0.088
107.62,10.88,6.001,0.088
107.97,10.88,6.001,0.088
108.318,10.86,6.001,0.088
108.694,10.86,6.001,0.088
109.044,10.86,6.001,0.088
109.392,10.86,6.001,0.088
109.742,10.85,6.001,0.088
110.091,10.85,6.001,0.088
110.466,10.85,6.001,0.088
110.815,10.85,6.001,0.088
111.165,10.85,6.001,0.087
111.515,10.69,6.001,0.087
111.863,10.74,6.001,0.087
112.212,10.75,6.001,0.087
