Time,Amps,Volts,Torque 4V (N · m)
0.003,57.47,4.001,0.343
0.426,59.22,4.001,0.335
0.782,57.73,4.001,0.33
1.197,56.93,4.001,0.328
1.605,56.4,4.001,0.325
1.969,55.91,4.001,0.324
2.344,55.79,4.001,0.322
2.7,55.29,4.001,0.319
3.059,54.84,4.001,0.316
3.407,54.4,4.001,0.315
3.757,54.22,4.001,0.314
4.132,53.97,4.001,0.312
4.482,53.7,4,0.31
4.832,53.35,4.001,0.309
5.18,53.1,4,0.307
5.53,52.77,4.001,0.306
5.88,52.4,4.001,0.303
6.256,51.94,4.001,0.301
6.605,51.78,4.001,0.3
6.955,51.54,4.001,0.299
7.303,51.33,4.001,0.298
7.653,51.11,4.001,0.296
8.028,50.9,4.001,0.295
8.378,50.66,4.001,0.294
8.727,50.48,4.001,0.292
9.077,50.2,4.001,0.291
9.425,50,4.001,0.289
9.775,49.7,4.001,0.288
10.151,49.53,4.001,0.288
10.499,49.37,4.001,0.287
10.849,49.14,4.001,0.286
11.197,49.01,4.001,0.284
11.573,48.79,4.001,0.283
11.923,48.56,4.001,0.282
12.271,48.41,4.001,0.281
12.62,48.22,4,0.28
12.97,48.01,4.001,0.28
13.346,47.86,4.001,0.278
13.695,47.68,4.001,0.277
14.043,47.5,4.001,0.276
14.392,47.38,4.001,0.275
14.742,47.21,4.001,0.275
15.119,47.06,4.001,0.274
15.468,46.91,4.001,0.273
15.816,46.74,4.001,0.272
16.165,46.6,4.001,0.271
16.516,46.46,4.001,0.271
16.864,46.32,4.001,0.27
17.213,46.18,4.001,0.269
17.589,46.04,4,0.268
17.939,45.87,4.001,0.267
18.287,45.79,4.001,0.266
18.637,45.68,4.001,0.266
18.985,45.58,4.001,0.265
19.36,45.45,4.001,0.265
19.711,45.35,4.001,0.264
20.059,45.23,4.001,0.263
20.41,45.12,4.001,0.263
20.757,45,4.001,0.262
21.134,44.9,4.001,0.262
21.483,44.8,4.001,0.261
21.832,44.7,4.001,0.26
22.181,44.6,4.001,0.26
22.557,44.49,4.001,0.259
22.906,44.39,4.001,0.259
23.258,44.3,4.001,0.258
23.606,44.2,4.001,0.258
23.955,44.12,4.001,0.257
24.304,44.02,4.001,0.257
24.681,43.94,4.001,0.256
25.029,43.84,4.001,0.256
25.378,43.75,4.001,0.255
25.727,43.67,4.001,0.255
26.078,43.59,4.001,0.254
26.427,43.5,4,0.253
26.803,43.42,4.001,0.253
27.153,43.35,4.001,0.247
27.501,42.31,4.001,0.248
27.85,42.49,4.001,0.248
28.2,42.44,4.001,0.248
28.575,42.39,4.001,0.248
28.924,42.44,4.001,0.248
29.273,42.36,4,0.247
29.622,42.18,4.001,0.246
29.972,42.27,4,0.247
30.32,42.43,4.001,0.248
30.696,42.57,4.001,0.249
31.045,42.58,4.001,0.248
31.394,42.54,4.001,0.248
31.743,42.48,4.001,0.247
32.119,42.41,4.001,0.247
32.469,42.34,4.001,0.247
32.817,42.27,4.001,0.246
33.166,42.21,4.001,0.246
33.516,42.15,4,0.246
33.865,42.09,4.001,0.245
34.241,42.03,4.001,0.245
34.59,41.98,4.001,0.245
34.94,41.92,4.001,0.245
35.288,41.87,4.001,0.244
35.638,41.8,4.001,0.244
36.014,41.76,4.001,0.243
36.364,41.7,4,0.243
36.713,41.66,4.001,0.243
37.062,41.6,4.001,0.243
37.412,41.55,4.001,0.242
37.76,41.5,4.001,0.242
38.136,41.45,4.001,0.242
38.483,41.4,4.001,0.241
38.834,41.36,4.001,0.241
39.182,41.3,4.001,0.241
39.557,41.26,4.001,0.241
39.907,41.2,4.001,0.24
40.257,41.16,4.001,0.24
40.605,41.12,4.001,0.24
40.956,41.07,4.001,0.24
41.305,41.02,4.001,0.239
41.681,40.96,4.001,0.239
42.03,40.92,4.001,0.238
42.379,40.87,4.001,0.238
42.728,40.82,4.001,0.238
43.077,40.78,4.001,0.238
43.427,40.74,4.001,0.237
43.803,40.68,4.001,0.237
44.151,40.64,4.001,0.237
44.502,40.6,4.001,0.237
44.85,40.55,4.001,0.237
45.2,40.51,4.001,0.236
45.576,40.46,4.001,0.236
45.925,40.42,4.001,0.235
46.274,40.37,4.001,0.235
46.623,40.33,4.001,0.235
46.972,40.28,4.001,0.235
47.347,40.24,4.001,0.235
47.697,40.2,4,0.234
48.046,40.16,4.001,0.234
48.397,40.12,4.001,0.233
48.745,40.08,4.001,0.234
49.12,40.04,4.001,0.233
49.469,40,4.001,0.233
49.819,39.96,4.001,0.233
50.168,39.93,4.001,0.233
50.517,39.89,4.001,0.233
50.892,39.85,4.001,0.232
51.242,39.81,4.001,0.232
51.591,39.77,4.001,0.232
51.94,39.75,4.001,0.231
52.289,39.71,4.001,0.231
52.667,39.68,4.001,0.231
53.015,39.65,4.001,0.23
53.364,39.61,4.001,0.23
53.713,39.58,4.001,0.23
54.062,39.54,4.001,0.23
54.411,39.51,4.001,0.23
54.762,39.47,4.001,0.23
55.138,39.44,4.001,0.23
55.486,39.4,4.001,0.23
55.836,39.38,4.001,0.229
56.185,39.34,4.001,0.229
56.533,39.31,4.001,0.229
56.909,39.28,4,0.228
57.259,39.24,4.001,0.228
57.607,39.21,4.001,0.228
57.957,39.18,4.001,0.228
58.306,39.15,4.001,0.228
58.682,39.12,4.001,0.227
59.031,39.09,4.001,0.227
59.38,39.06,4,0.227
59.73,39.03,4.001,0.227
60.078,39,4.001,0.227
60.454,38.96,4.001,0.226
60.804,38.94,4.001,0.226
61.153,38.91,4.001,0.226
61.503,38.88,4.001,0.226
61.851,38.85,4.001,0.226
62.243,38.82,4.001,0.226
62.632,38.78,4.001,0.226
63.006,38.76,4.001,0.225
63.354,38.73,4.001,0.225
63.704,38.7,4.001,0.225
64.053,38.67,4.001,0.225
64.401,38.64,4.001,0.225
64.779,38.61,4.001,0.225
65.127,38.58,4.001,0.224
65.476,38.55,4.001,0.224
65.825,38.53,4.001,0.224
66.175,38.47,4.001,0.223
66.551,38.45,4.001,0.223
66.901,38.43,4.001,0.223
67.249,38.4,4.001,0.223
67.599,38.37,4.001,0.223
67.947,38.33,4.001,0.223
68.322,38.32,4.001,0.222
68.672,38.29,4.001,0.222
69.021,38.26,4.001,0.222
69.371,38.23,4.001,0.221
69.719,38.21,4.001,0.222
70.095,38.18,4.001,0.221
70.443,38.15,4.001,0.222
70.794,38.13,4.001,0.221
71.142,38.11,4.001,0.221
71.492,38.08,4.001,0.221
71.868,38.04,4.001,0.22
72.217,38.03,4.001,0.221
72.565,38,4.001,0.22
72.915,37.98,4.001,0.22
73.264,37.95,4.001,0.22
73.641,37.91,4.001,0.22
