Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.382,83.647,1003.764,0,0,1003.764
189.979,0.37818,82.814,993.768,7.524,0.757,986.244
379.958,0.37436,81.981,983.772,14.895,1.514,968.877
569.937,0.37054,81.148,973.776,22.115,2.271,951.661
759.916,0.36672,80.315,963.78,29.183,3.028,934.597
949.894,0.3629,79.482,953.784,36.099,3.785,917.685
1139.873,0.35908,78.649,943.788,42.862,4.541,900.926
1329.852,0.35526,77.816,933.792,49.474,5.298,884.318
1519.831,0.35144,76.983,923.796,55.934,6.055,867.862
1709.81,0.34762,76.151,913.812,62.242,6.811,851.57
1899.789,0.3438,75.318,903.816,68.397,7.568,835.419
2089.768,0.33998,74.485,893.82,74.401,8.324,819.419
2279.747,0.33616,73.652,883.824,80.253,9.08,803.571
2469.726,0.33234,72.819,873.828,85.953,9.836,787.875
2659.704,0.32852,71.986,863.832,91.501,10.592,772.331
2849.683,0.3247,71.153,853.836,96.896,11.348,756.94
3039.662,0.32088,70.32,843.84,102.14,12.104,741.7
3229.641,0.31706,69.487,833.844,107.232,12.86,726.612
3419.62,0.31324,68.654,823.848,112.172,13.616,711.676
3609.599,0.30942,67.821,813.852,116.96,14.371,696.892
3799.578,0.3056,66.988,803.856,121.595,15.126,682.261
3989.557,0.30178,66.155,793.86,126.079,15.882,667.781
4179.536,0.29796,65.322,783.864,130.411,16.637,653.453
4369.514,0.29414,64.489,773.868,134.591,17.392,639.277
4559.493,0.29032,63.656,763.872,138.619,18.147,625.253
4749.472,0.2865,62.824,753.888,142.495,18.901,611.393
4939.451,0.28268,61.991,743.892,146.219,19.656,597.673
5129.43,0.27886,61.158,733.896,149.79,20.41,584.106
5319.409,0.27504,60.325,723.9,153.21,21.165,570.69
5509.388,0.27122,59.492,713.904,156.478,21.919,557.426
5699.367,0.2674,58.659,703.908,159.594,22.673,544.314
5889.346,0.26358,57.826,693.912,162.558,23.426,531.354
6079.324,0.25976,56.993,683.916,165.37,24.18,518.546
6269.303,0.25594,56.16,673.92,168.03,24.933,505.89
6459.282,0.25212,55.327,663.924,170.538,25.686,493.386
6649.261,0.2483,54.494,653.928,172.894,26.439,481.034
6839.24,0.24448,53.661,643.932,175.097,27.192,468.835
7029.219,0.24066,52.828,633.936,177.149,27.944,456.787
7219.198,0.23684,51.995,623.94,179.049,28.697,444.891
7409.177,0.23302,51.162,613.944,180.797,29.448,433.147
7599.156,0.2292,50.329,603.948,182.393,30.2,421.555
7789.134,0.22538,49.496,593.952,183.837,30.951,410.115
