Time,Amps,Volts,Torque 6V (N · m)
0,3.52,6.001,0.13
0.365,6.27,6.001,0.128
0.769,6.22,6.001,0.127
1.182,6.19,6.001,0.126
1.547,6.16,6.001,0.126
1.932,6.13,6.001,0.125
2.28,6.09,6.001,0.125
2.629,6.04,6.001,0.124
2.979,6.01,6.001,0.124
3.329,5.99,6.001,0.124
3.677,5.97,6.001,0.123
4.026,5.94,6.001,0.123
4.404,5.91,6.001,0.123
4.751,5.88,6.001,0.122
5.101,5.86,6.001,0.122
5.45,5.87,6.001,0.122
5.8,5.83,6.001,0.122
6.177,5.82,6.001,0.121
6.526,5.8,6.001,0.121
6.876,5.8,6.001,0.121
7.225,5.78,6.001,0.12
7.574,5.76,6.001,0.12
7.922,5.75,6.001,0.119
8.298,5.73,6.001,0.119
8.646,5.72,6.001,0.119
8.996,5.71,6.001,0.118
9.345,5.7,6.001,0.118
9.72,5.69,6.001,0.118
10.069,5.66,6.001,0.117
10.419,5.65,6.001,0.117
10.769,5.63,6.001,0.117
11.118,5.63,6.001,0.116
11.467,5.6,6.001,0.116
11.843,5.6,6.001,0.116
12.191,5.58,6.001,0.116
12.541,5.57,6.001,0.115
12.891,5.55,6.001,0.115
13.24,5.54,6.001,0.114
13.589,5.53,6.001,0.114
13.967,5.52,6.001,0.114
14.312,5.51,6.001,0.114
14.664,5.5,6.001,0.114
15.011,5.51,6.001,0.113
15.361,5.5,6.001,0.113
15.738,5.49,6.001,0.113
16.087,5.48,6.001,0.113
16.438,5.47,6.001,0.113
16.786,5.46,6.001,0.112
17.135,5.45,6.001,0.112
17.525,5.44,6.001,0.112
17.885,5.43,6.001,0.112
18.26,5.42,6.001,0.111
18.61,5.42,6.001,0.111
18.959,5.41,6.001,0.111
19.309,5.4,6.001,0.111
19.658,5.4,6.001,0.111
20.007,5.39,6.001,0.111
20.367,5.38,6.001,0.111
20.724,5.36,6.001,0.11
21.081,5.36,6.001,0.11
21.431,5.36,6.001,0.11
21.779,5.35,6.001,0.11
22.13,5.35,6.001,0.11
22.507,5.33,6.001,0.11
22.855,5.33,6.001,0.11
23.204,5.33,6.001,0.109
23.553,5.33,6.001,0.109
23.903,5.32,6.001,0.109
24.278,5.31,6.001,0.109
24.628,5.3,6.001,0.109
24.977,5.29,6.001,0.109
25.326,5.29,6.001,0.109
25.675,5.28,6.001,0.109
26.052,5.27,6.001,0.108
26.4,5.27,6.001,0.108
26.749,5.25,6.001,0.108
27.098,5.25,6.001,0.108
27.447,5.24,6.001,0.108
27.823,5.23,6.001,0.108
28.172,5.22,6.001,0.108
28.522,5.22,6.001,0.107
28.872,5.21,6.001,0.107
29.22,5.21,6.001,0.107
29.569,5.2,6.001,0.107
29.928,5.19,6.001,0.107
30.285,5.19,6.001,0.106
30.644,5.18,6.001,0.106
30.994,5.17,6.001,0.107
31.341,5.17,6.001,0.106
31.693,5.16,6.001,0.106
32.069,5.15,6.001,0.106
32.418,5.15,6.001,0.106
32.767,5.14,6.001,0.106
33.114,5.13,6.001,0.106
33.465,5.13,6.001,0.105
33.841,5.12,6.001,0.105
34.19,5.11,6.001,0.105
34.538,5.11,6.001,0.105
34.888,5.11,6.001,0.105
35.236,5.1,6.001,0.105
35.612,5.09,6.001,0.105
35.962,5.09,6.001,0.104
36.31,5.09,6.001,0.104
36.659,5.08,6.001,0.104
37.007,5.07,6.001,0.104
37.384,5.08,6.001,0.104
37.733,5.08,6.001,0.104
38.082,5.08,6.001,0.104
38.432,5.08,6.001,0.104
38.781,5.08,6.001,0.104
39.159,5.07,6.001,0.104
39.504,5.07,6.001,0.104
39.857,5.06,6.001,0.104
40.204,5.06,6.001,0.104
40.554,5.06,6.001,0.104
40.903,5.06,6.001,0.104
41.28,5.05,6.001,0.103
41.629,5.05,6.001,0.103
41.979,5.04,6.001,0.103
42.328,5.04,6.001,0.103
42.677,5.03,6.001,0.103
43.052,5.02,6.001,0.103
43.401,5.02,6.001,0.103
43.75,5.03,6.001,0.103
44.099,5.02,6.001,0.103
