Time (s),Current (A),Voltage (V),Torque 2V (N · m)
0.001,30.88,8.002,0.357
0.365,42.86,8.002,0.347
0.769,41.59,8.002,0.341
1.143,40.54,8.002,0.34
1.55,40.48,8.002,0.334
1.934,39.69,8.002,0.33
2.309,38.95,8.002,0.323
2.658,38.17,8.002,0.319
3.007,37.57,8.002,0.314
3.357,37,8.002,0.311
3.706,36.45,8.002,0.308
4.083,35.95,8.002,0.305
4.432,35.59,8.002,0.301
4.78,35.11,8.002,0.298
5.131,34.72,8.002,0.295
5.477,34.32,8.002,0.293
5.854,34.03,8.002,0.29
6.203,33.72,8.002,0.288
6.553,33.46,8.002,0.285
6.902,33.15,8.002,0.283
7.25,32.84,8.002,0.281
7.627,32.51,8.002,0.279
7.975,32.25,8.002,0.276
8.325,32,8.002,0.274
8.674,31.72,8.002,0.272
9.023,31.46,8.002,0.27
9.373,31.26,8.002,0.267
9.733,30.94,8.002,0.266
10.087,30.71,8.002,0.264
10.447,30.56,8.002,0.263
10.797,30.32,8.002,0.261
11.145,30.16,8.002,0.26
11.495,29.99,8.002,0.258
11.871,29.77,8.002,0.257
12.22,29.64,8.002,0.256
12.568,29.51,8.002,0.255
12.919,29.45,8.002,0.254
13.267,29.4,8.002,0.253
13.643,29.22,8.002,0.252
13.992,29.08,8.002,0.251
14.34,28.95,8.002,0.25
14.691,28.82,8.002,0.249
15.04,28.72,8.002,0.248
15.416,28.55,8.002,0.246
15.765,28.4,8.002,0.245
16.114,28.23,8.002,0.244
16.463,28.12,8.002,0.243
16.811,28.05,8.002,0.243
17.188,28.02,8.002,0.242
17.537,27.91,8.002,0.241
17.886,27.81,8.002,0.24
18.235,27.72,8.002,0.24
18.584,27.68,8.002,0.239
18.96,27.61,8.002,0.239
19.31,27.59,8.002,0.238
19.66,27.48,8.002,0.237
20.008,27.4,8.002,0.236
20.358,27.32,8.002,0.236
20.705,27.26,8.002,0.235
21.058,27.19,8.002,0.235
21.433,27.17,8.002,0.234
21.782,27.18,8.002,0.234
22.132,27.17,8.002,0.234
22.481,27.13,8.002,0.233
22.829,27.1,8.002,0.238
23.205,28.23,8.002,0.233
23.555,27.22,8.002,0.232
23.903,27.18,8.002,0.232
24.253,27.15,8.002,0.233
24.601,27.39,8.002,0.232
24.977,27.07,8.002,0.231
25.326,27.07,8.002,0.231
25.676,27.03,8.002,0.231
26.024,26.99,8.002,0.23
26.4,26.95,8.002,0.23
26.749,26.92,8.002,0.229
27.099,26.86,8.002,0.233
27.448,27.45,8.002,0.233
27.797,27.91,8.002,0.228
28.147,26.66,8.002,0.231
28.523,27.52,8.002,0.23
28.871,27.38,8.002,0.226
29.222,26.4,8.002,0.225
29.57,26.42,8.002,0.225
29.92,26.3,8.002,0.224
30.268,26.26,8.002,0.223
30.645,26.2,8.002,0.223
30.995,26.19,8.002,0.222
31.343,26.08,8.002,0.222
31.692,26.01,8.002,0.222
32.042,26.04,8.002,0.222
32.418,26.05,8.002,0.226
32.767,27.07,8.002,0.226
33.116,27.16,8.002,0.226
33.464,27.17,8.002,0.226
33.814,27.08,8.002,0.225
34.189,26.98,8.002,0.225
34.538,26.94,8.002,0.224
34.887,26.85,8.002,0.224
35.236,26.8,8.002,0.223
35.586,26.67,8.002,0.223
35.963,26.59,8.002,0.222
36.311,26.53,8.002,0.222
36.659,26.48,8.002,0.222
37.009,26.48,8.002,0.221
37.357,26.33,8.002,0.221
37.707,26.35,8.002,0.22
38.084,26.3,8.002,0.22
38.432,26.18,8.002,0.22
38.783,26.22,8.002,0.22
39.132,26.18,8.002,0.219
39.482,26.03,8.002,0.218
39.83,25.97,8.002,0.218
40.207,25.96,8.002,0.217
40.556,25.85,8.002,0.216
40.906,25.67,8.002,0.217
41.255,25.91,8.002,0.217
41.604,25.82,8.002,0.216
41.981,25.64,8.002,0.216
42.328,25.67,8.002,0.215
42.678,25.64,8.002,0.215
43.027,25.58,8.002,0.215
43.376,25.52,8.002,0.214
43.751,25.46,8.002,0.214
44.101,25.39,8.002,0.213
44.451,25.39,8.002,0.213
44.799,25.31,8.002,0.213
45.147,25.3,8.002,0.212
45.524,25.26,8.002,0.212
45.873,25.19,8.002,0.211
46.22,25.09,8.002,0.211
46.571,25.16,8.002,0.211
46.919,25.07,8.002,0.211
47.268,25.09,8.002,0.211
47.646,25.11,8.002,0.21
47.995,25.04,8.002,0.21
48.345,24.96,8.002,0.21
48.694,24.95,8.002,0.209
49.042,24.88,8.002,0.209
49.418,24.83,8.002,0.208
49.768,24.67,8.002,0.208
50.116,24.65,8.002,0.207
50.465,24.55,8.002,0.207
50.814,24.48,8.002,0.206
51.189,24.39,8.002,0.206
51.54,24.58,8.002,0.205
51.887,24.26,8.002,0.205
52.238,24.18,8.002,0.204
52.587,24.17,8.002,0.204
52.962,24.1,8.002,0.203
53.312,24.14,8.002,0.203
53.66,24.06,8.002,0.203
54.009,24.07,8.002,0.203
54.358,24,8.002,0.202
54.735,23.98,8.002,0.202
55.083,23.87,8.002,0.202
55.432,23.95,8.002,0.202
55.782,24.01,8.002,0.201
56.131,23.82,8.002,0.201
56.509,23.9,8.002,0.201
56.857,23.89,8.002,0.2
57.207,23.72,8.002,0.201
57.555,23.87,8.002,0.201
57.905,23.94,8.002,0.2
58.253,23.88,8.002,0.201
58.63,23.92,8.002,0.202
58.98,24.29,8.002,0.202
59.329,24.26,8.002,0.202
59.679,24.24,8.002,0.201
60.028,24.21,8.002,0.201
60.379,24.2,8.002,0.201
60.752,24.14,8.001,0.201
61.102,24.1,8.002,0.201
61.449,24.09,8.002,0.2
61.799,24.08,8.002,0.2
62.185,24.05,8.002,0.2
62.58,24.02,8.002,0.2
62.953,23.96,8.002,0.199
63.302,23.91,8.002,0.199
63.651,23.88,8.002,0.199
64,23.82,8.001,0.198
64.376,23.83,8.002,0.198
64.725,23.8,8.002,0.198
65.075,23.76,8.002,0.198
65.424,23.77,8.002,0.198
65.799,23.76,8.002,0.198
66.149,23.76,8.002,0.198
66.497,23.75,8.002,0.197
66.849,23.73,8.002,0.197
67.224,23.7,8.002,0.197
67.589,23.67,8.002,0.197
67.947,23.64,8.002,0.196
68.297,23.6,8.002,0.196
68.647,23.55,8.002,0.196
69.022,23.52,8.002,0.195
69.371,23.49,8.002,0.195
69.721,23.44,8.002,0.195
70.07,23.43,8.002,0.195
70.418,23.41,8.002,0.194
70.795,23.39,8.002,0.194
71.143,23.35,8.002,0.194
71.492,23.32,8.002,0.194
71.842,23.29,8.002,0.193
72.19,23.26,8.002,0.193
72.565,23.21,8.001,0.193
72.916,23.19,8.002,0.192
73.264,23.16,8.002,0.192
73.615,23.13,8.002,0.192
73.964,23.11,8.002,0.191
74.339,23.07,8.002,0.191
74.688,23.05,8.002,0.191
75.038,23.02,8.002,0.191
75.387,22.99,8.002,0.19
75.737,22.96,8.002,0.19
76.112,22.9,8.002,0.189
76.462,22.84,8.002,0.189
76.812,22.84,8.002,0.188
77.16,22.73,8.002,0.188
77.51,22.74,8.002,0.188
77.885,22.74,8.002,0.188
78.234,22.71,8.002,0.188
78.584,22.67,8.002,0.187
78.933,22.64,8.002,0.187
79.282,22.57,8.002,0.186
79.631,22.53,8.002,0.186
80.007,22.49,8.002,0.186
80.355,22.48,8.002,0.186
80.709,22.47,8.002,0.185
81.052,22.43,8.002,0.185
81.43,22.38,8.002,0.184
81.778,22.33,8.002,0.184
82.129,22.34,8.002,0.184
82.477,22.36,8.002,0.184
82.825,22.36,8.002,0.184
83.175,22.34,8.002,0.184
83.534,22.31,8.002,0.184
83.89,22.29,8.002,0.183
84.249,22.28,8.001,0.183
84.599,22.29,8.002,0.183
84.947,22.25,8.002,0.183
85.297,22.28,8.002,0.182
85.674,22.54,8.002,0.182
86.022,22.53,8.002,0.181
86.372,22.46,8.002,0.181
86.72,22.45,8.002,0.181
87.069,22.45,8.001,0.181
87.447,22.44,8.002,0.181
87.795,22.41,8.002,0.18
88.144,22.4,8.002,0.18
88.492,22.42,8.001,0.18
88.843,22.39,8.002,0.18
89.192,22.42,8.001,0.18
89.569,22.42,8.002,0.18
89.916,22.58,8.002,0.179
90.267,22.6,8.002,0.179
90.614,22.64,8.002,0.179
90.991,22.64,8.002,0.178
91.341,27.18,8.002,0.158
91.69,36.35,8.002,0.156
92.039,38.64,8.002,0.153
92.388,61.96,8.001,0.139
92.737,51.89,8.001,0.12
93.113,99.91,8.002,0.075
93.463,100.2,7.903,0.092
