Time,Current (A),Power Output (W)
96.509,9.79,43.157
96.868,9.78,41.635
97.217,9.78,41.635
97.595,9.79,41.734
97.996,9.8,41.898
98.362,9.79,43.548
98.723,9.78,41.954
99.07,9.78,43.448
99.421,9.73,43.436
99.798,9.76,42.934
100.199,9.76,41.452
100.565,9.75,42.567
100.923,9.75,41.635
101.274,9.73,43.285
101.623,9.74,42.551
102,9.73,42.069
102.364,9.72,41.926
102.724,9.72,41.93
103.099,9.71,42.376
103.448,9.72,42.312
103.8,9.73,43.157
104.148,9.72,42.484
104.497,9.73,41.412
104.874,9.72,42.595
105.222,9.72,41.551
105.572,9.71,42.193
105.922,9.71,42.288
106.271,9.69,41.858
106.63,9.69,41.958
107.013,9.68,41.217
107.373,9.69,42.316
107.749,9.69,41.567
108.137,9.69,42.137
108.517,9.68,41.105
108.877,9.67,41.161
109.28,9.67,41.942
109.628,9.64,41.381
109.978,9.64,41.846
110.327,9.64,41.926
110.676,9.63,41.496
111.054,9.64,41.511
111.418,9.63,40.867
111.777,9.62,41.623
112.139,9.62,41.037
112.501,9.63,41.468
112.852,9.63,41.44
113.201,9.62,42.806
113.552,9.65,41.747
113.954,9.64,42.783
114.303,9.65,41.811
114.65,9.66,42.806
115.002,9.65,41.691
115.378,9.64,41.08
115.743,9.64,41.79
116.102,9.65,41.775
116.477,9.65,41.87
116.827,9.64,41.827
117.176,9.64,41.775
117.526,9.64,41.914
117.873,9.65,41.759
118.234,9.65,40.925
118.606,9.64,40.811
119.002,9.64,41.551
119.369,9.62,40.854
119.728,9.64,41.328
120.076,9.63,41.242
120.453,9.62,42.543
120.802,9.62,41.576
121.151,9.61,42.332
121.501,9.61,41.381
121.852,9.6,41.443
122.224,9.61,41.663
122.575,9.62,41.635
122.925,9.62,41.396
123.274,9.62,41.607
123.624,9.62,41.97
123.972,9.61,41.551
124.349,9.64,42.209
124.698,9.65,41.616
125.048,9.64,40.895
125.434,9.61,41.037
125.789,9.6,41.567
126.149,9.61,41.611
126.497,9.62,40.994
126.847,9.63,40.616
127.206,9.61,42.081
127.562,9.59,41.009
127.922,9.59,40.882
128.271,9.58,41.536
128.619,9.59,41.607
128.97,9.6,40.978
129.346,9.61,41.133
129.694,9.6,41.734
130.044,9.59,40.814
130.393,9.58,41.483
130.742,9.57,41.942
131.118,9.57,40.814
131.467,9.57,41.288
131.815,9.58,40.771
132.166,9.59,41.846
132.568,9.59,40.547
132.918,9.59,41.707
133.266,9.6,41.034
133.616,9.6,41.424
133.965,9.59,40.644
134.34,9.58,40.492
134.691,9.57,40.981
135.077,9.55,41.049
135.46,9.54,41.186
135.818,9.53,40.619
136.168,9.54,41.118
136.545,9.54,40.114
136.946,9.53,40.854
137.313,9.53,40.591
137.671,9.52,41.4
138.021,9.51,40.717
138.371,9.54,40.241
138.748,9.54,41.245
139.134,9.55,41.273
139.516,9.56,40.814
139.877,9.57,41.344
140.262,9.58,40.826
140.617,9.59,41.102
140.976,9.59,40.923
141.326,9.57,41.775
141.702,9.56,41.217
142.05,9.56,41.164
142.4,9.58,40.978
142.75,9.56,40.659
143.098,9.56,40.421
143.448,9.55,40.492
143.808,9.54,40.783
144.162,9.54,41.006
144.523,9.53,41.316
144.871,9.53,40.755
145.222,9.52,41.455
145.569,9.51,40.631
145.947,9.53,40.854
146.297,9.51,40.575
146.699,9.51,40.284
147.065,9.51,40.715
147.424,9.51,40.213
147.773,9.5,40.324
148.149,9.5,40.839
148.499,9.5,40.743
148.848,9.5,40.854
149.197,9.51,39.724
149.585,9.51,40.269
149.939,9.51,39.795
150.298,9.51,40.254
150.648,9.5,39.878
151.007,9.51,40.522
151.389,9.51,39.807
151.75,9.51,40.966
152.153,9.51,40.727
152.503,9.51,41.189
152.905,9.5,40.768
153.255,9.5,39.934
153.657,9.51,41.316
154.007,9.51,39.863
154.354,9.51,40.324
154.705,9.51,40.727
155.053,9.49,41.049
155.404,9.5,40.727
155.779,9.49,41.217
156.129,9.48,40.601
156.479,9.48,41.288
156.828,9.49,40.129
157.177,9.49,39.878
157.58,9.47,39.878
157.929,9.47,39.599
158.278,9.47,39.642
158.655,9.47,40.284
159.002,9.47,40.616
159.353,9.49,41.4
159.702,9.49,40.783
160.052,9.49,39.904
160.4,9.47,40.352
160.751,9.46,39.642
161.127,9.46,40.101
161.475,9.46,39.389
161.826,9.44,40.479
162.176,9.45,40.449
162.576,9.45,40.631
162.926,9.45,40.421
163.274,9.44,40.033
163.623,9.44,39.934
164,9.45,39.571
164.349,9.41,39.683
164.698,9.41,39.181
165.048,9.41,39.194
165.398,9.41,39.642
165.746,9.42,39.975
166.122,9.41,39.797
166.472,9.41,40.142
166.858,9.41,39.055
167.239,9.41,40.438
167.599,9.42,39.531
167.949,9.42,41.022
168.325,9.42,39.291
168.675,9.4,40.743
169.076,9.39,40.086
169.426,9.38,40.159
169.775,9.4,40.142
170.123,9.4,40.395
170.474,9.4,39.571
170.822,9.39,40.56
171.199,9.37,40.702
171.547,9.38,39.767
171.897,9.39,40.018
172.246,9.4,39.809
172.596,9.41,40.101
