Time,Current (A),Power Output (W)
95.593,32.82,160.368
95.942,32.72,157.917
96.294,32.59,160.591
96.641,32.87,160.591
96.991,32.62,160.739
97.368,32.9,161.197
97.717,32.47,158.598
98.12,32.48,156.7
98.468,32.48,160.788
98.817,32.45,159.812
99.167,32.59,160.566
99.516,32.34,158.476
99.866,32.34,157.406
100.243,32.45,155.099
100.59,32.01,156.043
100.94,32.42,158.208
101.289,32.31,158.063
101.64,32.38,155.755
101.987,32.12,155.827
102.338,32.05,155.731
102.697,32.11,160.107
103.053,32.72,160.764
103.411,32.63,157.237
103.761,32.67,158.985
104.111,32.46,156.821
104.497,32.73,160.665
104.852,32.69,159.328
105.213,32.6,159.935
105.588,32.77,157.844
105.937,32.52,156.46
106.287,32.6,145.486
106.635,41.67,143.601
106.986,40.46,130.894
107.334,46.27,132.834
107.683,46.5,132.508
108.06,46.63,99.003
108.409,64.22,83.82
108.759,103.57,12.309
109.16,120.03,12.209
109.509,120.04,0.868
109.859,120.03,2.879
110.207,120.06,3.634
110.557,120,1.549
110.933,120.02,1.984
111.282,75.9,0.56
111.632,46.52,0.05
111.98,49.12,0.018
112.332,39.03,0
112.679,20.4,0
113.057,15.18,0
113.407,14.14,0
113.808,8.75,0
114.157,1.04,0
114.506,0,0
