Time,Amps,Volts,Torque 6V (N · m)
0.001,62.39,6.001,0.511
0.392,61.02,6.001,0.506
0.797,59.84,6.001,0.502
1.171,58.66,6.001,0.497
1.585,57.45,6.001,0.492
1.96,56.38,6.001,0.487
2.333,55.39,6.001,0.483
2.685,54.49,6.001,0.478
3.034,53.65,6.001,0.474
3.41,52.86,6.001,0.47
3.759,52.07,6.001,0.465
4.109,51.37,6.001,0.462
4.457,50.72,6.001,0.458
4.807,50.1,6.001,0.454
5.155,49.52,6.001,0.451
5.532,48.97,6.001,0.447
5.88,48.48,6.001,0.443
6.229,47.97,6.001,0.44
6.578,47.49,6.001,0.437
6.946,46.99,6.001,0.434
7.333,46.55,6.001,0.431
7.681,46.13,6.001,0.428
8.031,45.72,6.001,0.425
8.379,45.33,6.001,0.423
8.756,44.92,6.001,0.42
9.104,44.56,6.001,0.417
9.454,44.22,6.001,0.414
9.803,43.88,6.001,0.412
10.151,43.56,6.001,0.41
10.527,43.23,6.001,0.407
10.877,42.94,6.001,0.405
11.225,42.65,6.001,0.403
11.575,42.37,6.001,0.401
11.924,42.11,6.001,0.399
12.301,41.85,6.001,0.397
12.65,41.58,6.001,0.395
12.999,41.35,6.001,0.393
13.347,41.12,6.001,0.392
13.698,40.91,6.001,0.39
14.046,40.7,6.001,0.388
14.422,40.49,6.001,0.387
14.771,40.27,6.001,0.385
15.121,40.08,6.001,0.384
15.47,39.9,6.001,0.382
15.819,39.71,6.001,0.381
16.169,39.53,6.001,0.38
16.545,39.35,6.001,0.378
16.894,39.17,6.001,0.377
17.242,39.01,6.001,0.376
17.591,38.85,6.001,0.374
17.94,38.69,6.001,0.373
18.316,38.53,6.001,0.372
18.665,38.39,6.001,0.371
19.015,38.25,6.001,0.37
19.363,38.11,6.001,0.369
19.713,37.98,6.001,0.368
20.089,37.84,6.001,0.367
20.438,37.66,6.001,0.366
20.788,37.53,6.001,0.365
21.138,37.41,6.001,0.363
21.487,37.29,6.001,0.363
21.881,37.18,6.001,0.362
22.266,37.05,6.001,0.361
22.64,36.94,6.001,0.36
22.99,36.83,6.001,0.359
23.339,36.72,6.001,0.358
23.689,36.62,6.001,0.358
24.048,36.52,6.001,0.356
24.405,36.41,6.001,0.356
24.762,36.31,6.001,0.355
25.113,36.21,6.001,0.355
25.461,36.13,6.001,0.354
25.812,36.04,6.001,0.353
26.187,35.95,6.001,0.352
26.537,35.86,6.001,0.351
26.886,35.77,6.001,0.351
27.235,35.69,6.001,0.35
27.584,35.61,6.001,0.35
27.958,35.52,6.001,0.349
28.309,35.44,6.001,0.349
28.657,35.37,6.001,0.348
29.008,35.29,6.001,0.347
29.356,35.22,6.001,0.346
29.732,35.15,6.001,0.346
30.081,35.07,6.001,0.345
30.431,35.01,6.001,0.345
30.779,34.94,6.001,0.344
31.128,34.87,6.001,0.344
31.505,34.8,6.001,0.343
31.852,34.73,6.001,0.343
32.203,34.66,6.001,0.342
32.551,34.6,6.001,0.342
32.901,34.54,6.001,0.341
