Time (s),Current (A),Voltage (V),Torque 2V (N · m)
0.007,10.62,2,0.098
0.417,10.87,2,0.098
0.822,10.86,2,0.098
1.196,10.84,2,0.097
1.609,10.82,2,0.097
1.986,10.8,2,0.097
2.361,10.76,2,0.097
2.709,10.73,2,0.097
3.058,10.71,2,0.096
3.408,10.68,2,0.096
3.756,10.64,2,0.096
4.133,10.62,2,0.095
4.482,10.59,2,0.095
4.831,10.56,2,0.095
5.179,10.54,2,0.095
5.556,10.5,2,0.094
5.904,10.47,2,0.094
6.254,10.44,2,0.094
6.603,10.42,2,0.094
6.952,10.39,2,0.094
7.301,10.37,2,0.093
7.677,10.35,2,0.093
8.025,10.34,2,0.093
8.375,10.31,2,0.093
8.725,10.3,2,0.093
9.074,10.28,2,0.093
9.433,10.27,2,0.093
9.791,10.26,2,0.092
10.149,10.24,2,0.092
10.499,10.23,2,0.092
10.847,10.23,2,0.092
11.196,10.22,2,0.092
11.573,10.22,2,0.092
11.922,10.21,2,0.092
12.27,10.21,2,0.092
12.621,10.2,2,0.092
12.97,10.19,2,0.092
13.345,10.19,2,0.092
13.694,10.16,2,0.092
14.043,10.16,2,0.091
14.393,10.13,2,0.091
14.741,10.11,2,0.091
15.117,10.09,2,0.091
15.466,10.06,2,0.091
15.814,10.04,2,0.091
16.165,10.03,2,0.09
16.514,10.01,2,0.09
16.888,10.01,2,0.09
17.238,9.99,2,0.09
17.589,10,2,0.09
17.937,10.02,2,0.09
18.286,10.01,2,0.09
18.645,10,2,0.09
19.027,9.98,2,0.09
19.388,9.94,2,0.09
19.737,9.92,2,0.09
20.112,9.93,2,0.09
20.462,9.91,2,0.089
20.811,9.92,2,0.089
21.16,9.91,2,0.089
21.508,9.91,2,0.089
21.885,9.9,2,0.089
22.232,9.87,2,0.089
22.582,9.86,2,0.089
22.931,9.86,2,0.089
23.307,9.86,2,0.089
23.656,9.87,2,0.089
24.006,9.87,2,0.089
24.355,9.87,2,0.089
24.704,9.86,2,0.089
25.053,9.84,2,0.089
25.43,9.79,2,0.088
25.778,9.76,2,0.088
26.128,9.75,2,0.088
26.477,9.74,2,0.088
26.827,9.73,2,0.088
27.202,9.73,2,0.088
27.553,9.71,2,0.088
27.901,9.69,2,0.087
28.25,9.66,2,0.087
28.599,9.65,2,0.087
28.948,9.66,2,0.087
29.325,9.66,2,0.087
29.674,9.67,2,0.087
30.023,9.67,2,0.087
30.371,9.67,2,0.087
30.747,9.66,2,0.087
31.096,9.66,2,0.087
31.445,9.66,2,0.087
31.795,9.65,2,0.087
32.143,9.63,2,0.087
32.519,9.62,2,0.087
32.868,9.63,2,0.087
33.218,9.62,2,0.087
33.566,9.62,2,0.087
33.916,9.62,2,0.087
