Time (s),Current (A),Voltage (V),Torque 2V (N · m)
34.292,9.63,2,0.087
34.642,9.61,2,0.087
34.991,9.6,2,0.086
35.339,9.61,2,0.086
35.689,9.6,2,0.086
36.038,9.6,2,0.086
36.413,9.6,2,0.087
36.763,9.61,2,0.086
37.112,9.6,2,0.086
37.462,9.58,2,0.086
37.811,9.58,2,0.086
38.186,9.55,2,0.086
38.535,9.57,2,0.086
38.885,9.58,2,0.086
39.233,9.57,2,0.086
39.583,9.57,2,0.086
39.958,9.58,2,0.086
40.307,9.57,2,0.086
40.656,9.59,2,0.086
41.005,9.58,2,0.086
41.353,9.6,2,0.086
41.731,9.6,2,0.086
42.08,9.61,2,0.086
42.427,9.6,2,0.086
42.777,9.57,2,0.086
43.126,9.56,2,0.086
43.477,9.55,2,0.086
43.836,9.54,2,0.086
44.191,9.53,2,0.086
44.552,9.54,2,0.086
44.901,9.53,2,0.086
45.25,9.55,2,0.086
45.626,9.57,2,0.086
45.976,9.58,2,0.086
46.325,9.59,2,0.086
46.674,9.59,2,0.086
47.022,9.56,2,0.086
47.397,9.56,2,0.086
47.748,9.54,2,0.086
48.095,9.51,2,0.086
48.445,9.53,2,0.086
48.794,9.53,2,0.086
49.169,9.52,2,0.085
49.52,9.49,2,0.086
49.869,9.5,2,0.086
50.217,9.51,2,0.085
50.567,9.5,2,0.085
50.943,9.49,2,0.085
51.292,9.49,2,0.085
51.641,9.47,2,0.085
51.99,9.47,2,0.085
52.339,9.46,2,0.085
52.716,9.46,2,0.085
53.065,9.47,2,0.085
53.415,9.46,2,0.085
53.762,9.48,2,0.085
54.112,9.47,2,0.085
54.461,9.47,2,0.085
54.838,9.48,2,0.085
55.187,9.49,2,0.085
55.536,9.48,2,0.085
55.884,9.48,2,0.085
56.233,9.49,2,0.085
56.61,9.49,2,0.085
56.957,9.48,2,0.085
57.308,9.46,2,0.085
57.656,9.44,2,0.085
58.032,9.43,2,0.085
58.381,9.42,2,0.085
58.73,9.41,2,0.085
59.08,9.38,2,0.085
59.428,9.39,2,0.085
59.777,9.37,2,0.085
60.154,9.37,2,0.085
60.502,9.38,2,0.085
60.851,9.38,2,0.084
61.202,9.35,2,0.084
61.55,9.35,2,0.084
61.899,9.35,2,0.084
62.293,9.34,2,0.084
62.678,9.32,2,0.084
63.054,9.33,2,0.084
63.403,9.32,2,0.084
63.753,9.31,2,0.084
64.129,9.29,2,0.084
64.477,9.28,2,0.084
64.827,9.25,2,0.084
65.176,9.25,2,0.084
65.525,9.26,2,0.084
65.902,9.26,2,0.084
66.25,9.25,2,0.084
66.599,9.25,2,0.084
66.949,9.28,2,0.084
67.299,9.25,2,0.083
67.647,9.26,2,0.083
68.024,9.25,2,0.083
68.371,9.25,2,0.083
68.722,9.27,2,0.083
69.069,9.23,2,0.083
69.446,9.26,2,0.084
69.795,9.29,2,0.084
70.144,9.27,2,0.083
70.493,9.26,2,0.084
70.842,9.29,2,0.084
71.218,9.28,2,0.084
71.566,9.29,2,0.084
71.917,9.3,2,0.084
72.267,9.29,2,0.084
72.615,9.31,2,0.084
72.964,9.31,2,0.084
73.324,9.31,2,0.084
73.705,9.32,2,0.084
74.067,9.31,2,0.084
74.441,9.32,2,0.084
74.791,9.32,2,0.084
75.138,9.32,2,0.084
75.489,9.32,2,0.084
75.837,9.31,2,0.084
76.213,9.31,2,0.084
76.562,9.32,2,0.084
76.912,9.31,2,0.084
77.262,9.3,2,0.084
77.609,9.29,2,0.084
77.986,9.29,2,0.084
78.334,9.3,2,0.084
78.685,9.3,2,0.083
79.033,9.29,2,0.083
79.383,9.28,2,0.083
79.768,9.28,2,0.083
80.126,9.25,2,0.083
80.484,9.25,2,0.083
80.834,9.23,2,0.083
81.209,9.23,2,0.083
81.559,9.24,2,0.083
81.908,9.24,2,0.083
82.258,9.23,2,0.083
82.605,9.24,2,0.083
82.982,9.23,2,0.083
83.33,9.23,2,0.083
83.68,9.23,2,0.083
84.029,9.21,2,0.083
84.378,9.21,2,0.083
84.754,9.22,2,0.083
85.103,9.21,2,0.083
85.452,9.22,2,0.083
85.802,9.22,2,0.083
86.151,9.23,2,0.083
86.526,9.24,2,0.083
86.875,9.22,2,0.083
87.225,9.23,2,0.083
87.575,9.21,2,0.083
87.923,9.21,2,0.083
88.271,9.2,2,0.083
88.633,9.19,2,0.083
88.988,9.2,2,0.083
89.347,9.21,2,0.083
89.696,9.21,2,0.083
90.044,9.22,2,0.083
90.421,9.23,2,0.083
90.77,9.25,2,0.083
91.12,9.26,2,0.083
91.468,9.26,2,0.083
91.818,9.25,2,0.083
92.191,9.24,2,0.083
92.543,9.24,2,0.083
92.892,9.24,2,0.083
93.24,9.24,2,0.083
93.59,9.23,2,0.083
93.965,9.22,2,0.083
94.314,9.18,2,0.083
94.663,9.16,2,0.083
95.012,9.17,2,0.083
95.361,9.17,2,0.083
95.711,9.17,2,0.083
96.072,9.18,2,0.083
96.426,9.17,2,0.083
96.787,9.18,2,0.083
97.135,9.18,2,0.083
97.485,9.18,2,0.083
97.861,9.18,2,0.083
98.21,9.18,2,0.082
98.558,9.16,2,0.082
98.91,9.14,2,0.082
99.259,9.13,2,0.082
99.633,9.12,2,0.082
99.983,9.12,2,0.082
100.331,9.09,2,0.082
100.681,9.1,2,0.082
101.029,9.09,2,0.082
101.405,9.09,2,0.082
101.754,9.08,2,0.082
102.103,9.12,2,0.082
102.454,9.1,2,0.082
102.801,9.11,2,0.082
103.178,9.12,2,0.082
103.528,9.13,2,0.082
103.877,9.13,2,0.082
104.225,9.12,2,0.082
104.575,9.13,2,0.082
104.924,9.12,2,0.082
105.272,9.11,2,0.082
105.649,9.1,2,0.082
105.997,9.11,2,0.082
106.347,9.11,2,0.082
106.697,9.1,2,0.082
107.045,9.07,2,0.082
107.423,9.09,2,0.082
107.771,9.08,2,0.082
108.12,9.07,2,0.082
108.47,9.08,2,0.082
108.819,9.07,2,0.082
109.193,9.07,2,0.082
109.544,9.08,2,0.082
109.892,9.09,2,0.082
110.242,9.08,2,0.082
110.589,9.08,2,0.082
110.965,9.09,2,0.082
111.316,9.09,2,0.082
111.665,9.09,2,0.082
112.014,9.07,2,0.082
112.362,9.06,2,0.082
112.737,9.06,2,0.082
113.088,9.07,2,0.082
113.437,9.07,2,0.082
113.787,9.06,2,0.082
114.135,9.06,2,0.082
114.512,9.06,2,0.081
114.86,9.02,2,0.081
115.212,9.01,2,0.081
115.56,9.01,2,0.081
115.909,9,2,0.081
116.257,8.99,2,0.081
116.634,8.99,2,0.081
116.984,8.99,2,0.081
117.332,8.99,2,0.081
117.683,8.99,2,0.081
118.031,8.99,2,0.081
118.407,8.99,2,0.081
118.756,8.99,2,0.081
119.104,8.99,2,0.081
119.453,8.98,2,0.081
119.829,8.98,2,0.081
120.179,8.99,2,0.081
120.527,8.97,2,0.081
120.877,8.98,2,0.081
121.226,8.96,2,0.081
121.575,8.98,2,0.081
121.951,8.98,2,0.081
122.316,8.98,2,0.081
122.703,8.98,2,0.081
123.078,8.98,2,0.081
123.428,8.97,2,0.081
123.777,8.96,2,0.081
124.153,8.97,2,0.081
124.501,8.97,2,0.081
124.851,8.96,2,0.081
125.2,8.97,2,0.081
125.549,8.96,2,0.081
125.925,8.95,2,0.081
126.273,8.96,2,0.081
126.625,8.97,2,0.081
126.972,8.96,2,0.081
127.321,8.97,2,0.081
127.698,8.97,2,0.081
128.047,8.96,2,0.081
128.397,8.95,2,0.081
128.746,8.94,2,0.081
129.095,8.95,2,0.081
129.443,8.95,2,0.081
129.818,8.95,2,0.081
130.167,8.95,2,0.081
130.517,8.95,2,0.081
130.866,8.96,2,0.081
131.243,8.96,2,0.081
131.592,8.96,2,0.081
131.941,8.96,2,0.081
132.291,8.96,2,0.081
132.64,8.96,2,0.081
133.015,8.98,2,0.081
133.364,8.97,2,0.081
133.714,8.95,2,0.08
134.063,8.92,2,0.08
134.412,8.93,2,0.081
134.789,8.94,2,0.08
135.137,8.95,2,0.08
135.487,8.95,2,0.08
135.834,8.93,2,0.08
136.185,8.92,2,0.08
136.533,8.92,2,0.08
136.91,8.94,2,0.08
137.259,8.94,2,0.08
137.609,8.94,2,0.08
137.958,8.94,2,0.08
138.307,8.94,2,0.08
138.683,8.95,2,0.08
139.031,8.96,2,0.08
139.381,8.96,2,0.081
139.728,8.98,2,0.08
140.079,8.97,2,0.081
140.454,8.98,2,0.08
140.803,8.97,2,0.08
141.152,8.97,2,0.081
141.501,8.98,2,0.08
141.851,8.97,2,0.081
142.226,8.97,2,0.08
142.576,8.98,2,0.08
142.925,8.98,2,0.081
143.274,8.98,2,0.08
143.623,8.98,2,0.081
143.972,8.98,2,0.08
144.349,8.98,2,0.081
144.697,8.98,2,0.08
145.048,8.98,2,0.08
145.395,8.98,2,0.081
145.747,8.98,2,0.08
146.121,8.99,2,0.081
146.471,9,2,0.081
146.82,9,2,0.081
147.169,9,2,0.081
147.518,9,2,0.081
147.893,9,2,0.081
148.243,9,2,0.08
148.592,8.99,2,0.081
148.943,8.99,2,0.08
149.29,8.99,2,0.08
149.666,8.98,2,0.08
150.016,8.99,2,0.08
150.363,8.99,2,0.08
150.714,8.99,2,0.081
151.063,8.98,2,0.08
151.439,8.99,2,0.081
151.788,8.99,2,0.08
152.137,8.99,2,0.08
152.486,8.99,2,0.081
152.835,8.99,2,0.08
153.212,8.99,2,0.08
153.56,8.99,2,0.08
153.91,8.97,2,0.08
154.259,8.97,2,0.08
154.608,8.97,2,0.08
154.957,8.97,2,0.08
155.333,8.97,2,0.08
155.682,8.96,2,0.08
156.032,8.97,2,0.08
156.382,8.97,2,0.08
156.729,8.97,2,0.08
157.106,8.97,2,0.08
157.459,8.97,2,0.08
157.858,8.97,2,0.08
158.207,8.97,2,0.08
158.556,8.97,2,0.08
158.905,8.96,2,0.08
159.254,8.95,2,0.08
159.603,8.94,2,0.08
159.98,8.93,2,0.08
160.329,8.92,2,0.08
160.677,8.92,2,0.08
161.027,8.91,2,0.08
161.375,8.92,2,0.08
161.726,8.91,2,0.08
162.1,8.92,2,0.08
162.451,8.92,2,0.08
162.798,8.92,2,0.08
163.15,8.92,2,0.08
163.497,8.92,2,0.08
163.874,8.91,2,0.08
164.222,8.9,2,0.08
164.571,8.88,2,0.08
164.921,8.88,2,0.08
165.296,8.88,2,0.08
165.646,8.88,2,0.08
165.994,8.88,2,0.08
166.364,8.88,2,0.08
166.747,8.88,2,0.08
167.097,8.88,2,0.08
167.447,8.88,2,0.08
167.796,8.88,2,0.08
168.144,8.88,2,0.08
168.521,8.88,2,0.08
168.87,8.88,2,0.08
169.218,8.88,2,0.08
169.568,8.88,2,0.08
169.916,8.88,2,0.08
170.293,8.88,2,0.08
170.643,8.88,2,0.08
170.99,8.88,2,0.08
171.34,8.88,2,0.08
171.69,8.88,2,0.08
172.065,8.88,2,0.08
172.415,8.88,2,0.08
172.763,8.87,2,0.08
173.112,8.87,2,0.08
173.462,8.86,2,0.08
173.811,8.87,2,0.08
174.188,8.87,2,0.08
174.536,8.86,2,0.079
174.886,8.85,2,0.08
175.236,8.85,2,0.08
175.585,8.85,2,0.08
175.959,8.84,2,0.079
176.308,8.83,2,0.079
176.658,8.83,2,0.079
177.007,8.81,2,0.079
177.383,8.81,2,0.079
177.732,8.81,2,0.079
178.08,8.8,2,0.079
178.429,8.79,2,0.079
178.778,8.79,2,0.079
179.128,8.79,2,0.079
179.503,8.79,2,0.079
179.852,8.79,2,0.079
180.203,8.78,2,0.079
180.552,8.77,2,0.079
180.901,8.78,2,0.079
181.249,8.78,2,0.079
181.626,8.78,2,0.079
181.975,8.78,2,0.079
182.344,8.77,2,0.079
182.727,8.76,2,0.079
183.075,8.74,2,0.079
183.424,8.75,2,0.079
183.774,8.74,2,0.079
184.15,8.74,2,0.079
184.5,8.71,2,0.079
184.849,8.71,2,0.079
185.197,8.7,2,0.078
185.547,8.69,2,0.078
185.897,8.69,2,0.078
186.273,8.69,2,0.078
186.621,8.68,2,0.078
186.971,8.69,2,0.078
187.32,8.69,2,0.078
187.67,8.68,2,0.078
188.018,8.66,2,0.078
188.379,8.66,2,0.078
188.734,8.65,2,0.078
189.094,8.65,2,0.078
189.441,8.66,2,0.078
189.791,8.66,2,0.078
190.168,8.65,2,0.078
190.515,8.66,2,0.078
190.866,8.66,2,0.078
191.214,8.67,2,0.078
191.562,8.67,2,0.078
191.939,8.66,2,0.078
192.288,8.67,2,0.078
192.637,8.66,2,0.078
192.986,8.66,2,0.078
193.336,8.64,2,0.078
193.71,8.65,2,0.078
194.06,8.64,2,0.078
194.41,8.64,2,0.078
194.759,8.65,2,0.078
195.107,8.65,2,0.078
195.457,8.64,2,0.078
195.833,8.65,2,0.078
196.182,8.63,2,0.078
196.531,8.62,2,0.078
196.88,8.61,2,0.078
197.23,8.6,2,0.078
197.606,8.59,2,0.078
197.955,8.59,2,0.078
198.305,8.59,2,0.078
198.654,8.58,2,0.078
199.004,8.59,2,0.078
199.352,8.6,2,0.077
199.728,8.58,2,0.077
200.075,8.57,2,0.077
200.426,8.56,2,0.077
200.774,8.53,2,0.077
201.152,8.57,2,0.077
201.502,8.57,2,0.077
201.85,8.56,2,0.077
202.199,8.53,2,0.077
202.547,8.54,2,0.077
202.897,8.53,2,0.077
203.273,8.55,2,0.077
203.622,8.54,2,0.077
203.971,8.54,2,0.077
204.321,8.56,2,0.077
204.669,8.54,2,0.077
205.018,8.55,2,0.077
205.396,8.54,2,0.077
205.744,8.54,2,0.077
206.093,8.53,2,0.077
206.442,8.53,2,0.077
206.791,8.52,2,0.077
207.15,8.52,2,0.077
207.507,8.5,2,0.077
207.866,8.49,2,0.076
208.216,8.53,2,0.077
208.564,8.55,2,0.076
208.939,8.6,2,0.076
209.289,8.62,2,0.076
209.638,8.62,2,0.077
209.987,8.62,2,0.077
210.337,8.63,2,0.077
210.712,8.63,2,0.077
211.062,8.62,2,0.077
211.411,8.62,2,0.077
211.759,8.62,2,0.077
212.108,8.62,2,0.077
212.485,8.61,2,0.077
212.833,8.6,2,0.077
213.182,8.6,2,0.077
213.532,8.59,2,0.077
213.881,8.6,2,0.077
214.257,8.6,2,0.077
214.606,8.59,2,0.077
214.956,8.59,2,0.077
215.304,8.59,2,0.077
215.655,8.59,2,0.077
216.002,8.59,2,0.077
216.352,8.59,2,0.077
216.728,8.58,2,0.077
217.076,8.58,2,0.077
217.426,8.58,2,0.077
217.776,8.57,2,0.077
218.125,8.57,2,0.077
218.501,8.56,2,0.077
218.85,8.56,2,0.077
219.199,8.55,2,0.077
219.549,8.53,2,0.077
219.897,8.54,2,0.076
220.272,8.54,2,0.076
220.623,8.52,2,0.076
220.972,8.54,2,0.076
221.322,8.55,2,0.076
221.67,8.55,2,0.076
222.046,8.56,2,0.076
222.395,8.56,2,0.076
222.744,8.55,2,0.077
223.093,8.56,2,0.077
223.442,8.56,2,0.077
223.82,8.54,2,0.077
224.167,8.56,2,0.077
224.518,8.56,2,0.077
224.866,8.55,2,0.077
225.216,8.54,2,0.076
225.591,8.53,2,0.076
225.94,8.53,2,0.077
226.29,8.52,2,0.076
226.639,8.51,2,0.077
226.988,8.51,2,0.077
227.337,8.52,2,0.077
227.713,8.53,2,0.077
228.061,8.52,2,0.077
228.412,8.52,2,0.077
228.76,8.52,2,0.075
229.136,8.52,2,0.076
229.484,8.59,2,0.076
229.834,8.59,2,0.076
230.183,8.59,2,0.076
230.532,8.59,2,0.076
230.924,8.59,2,0.076
231.285,8.58,2,0.076
231.633,8.58,2,0.076
231.982,8.58,2,0.076
232.358,8.57,2,0.076
232.707,8.57,2,0.076
233.056,8.57,2,0.076
233.406,8.56,2,0.076
233.756,8.55,2,0.076
234.13,8.54,2,0.076
234.48,8.53,2,0.075
234.829,8.5,2,0.075
235.179,8.47,2,0.075
235.527,8.47,2,0.075
235.903,8.47,2,0.075
236.252,8.47,2,0.075
236.602,8.48,2,0.075
236.952,8.47,2,0.075
237.302,8.46,2,0.075
237.675,8.47,2,0.075
238.025,8.47,2,0.075
238.375,8.46,2,0.075
238.723,8.47,2,0.075
239.072,8.47,2,0.075
239.45,8.46,2,0.075
239.798,8.46,2,0.075
240.148,8.46,2,0.075
240.496,8.46,2,0.075
240.846,8.46,2,0.075
241.193,8.47,2,0.075
241.571,8.47,2,0.075
241.92,8.47,2,0.075
242.27,8.47,2,0.075
242.659,8.47,2,0.075
243.021,8.47,2,0.075
243.369,8.47,2,0.075
243.718,8.46,2,0.075
244.095,8.46,2,0.075
244.443,8.46,2,0.075
244.792,8.46,2,0.075
245.141,8.46,2,0.075
245.492,8.45,2,0.075
245.839,8.45,2,0.075
246.216,8.46,2,0.075
246.565,8.46,2,0.075
246.914,8.45,2,0.075
247.263,8.43,2,0.075
247.612,8.43,2,0.075
247.988,8.42,2,0.075
248.336,8.42,2,0.075
248.686,8.42,2,0.075
249.035,8.41,2,0.075
249.411,8.41,2,0.075
249.76,8.41,2,0.075
250.108,8.4,2,0.075
250.459,8.41,2,0.075
250.808,8.41,2,0.075
251.155,8.42,2,0.075
251.532,8.42,2,0.075
251.882,8.42,2,0.075
252.231,8.41,2,0.075
252.58,8.42,2,0.075
252.929,8.42,2,0.075
253.278,8.42,2,0.075
253.656,8.42,2,0.075
254.004,8.42,2,0.075
254.354,8.41,2,0.075
254.701,8.42,2,0.075
255.051,8.41,2,0.075
255.428,8.41,2,0.075
255.776,8.43,2,0.075
256.128,8.42,2,0.075
256.475,8.43,2,0.075
256.825,8.43,2,0.075
257.2,8.43,2,0.075
257.549,8.43,2,0.075
257.898,8.43,2,0.075
258.248,8.42,2,0.075
258.596,8.43,2,0.075
258.972,8.43,2,0.075
259.32,8.43,2,0.075
259.67,8.42,2,0.075
260.019,8.42,2,0.075
260.369,8.42,2,0.075
260.745,8.41,2,0.075
261.092,8.41,2,0.075
261.443,8.42,2,0.075
261.792,8.42,2,0.075
262.141,8.41,2,0.075
262.518,8.41,2,0.075
262.866,8.41,2,0.075
263.216,8.41,2,0.075
263.565,8.41,2,0.075
263.913,8.41,2,0.075
264.262,8.4,2,0.075
264.638,8.4,2,0.075
264.987,8.4,2,0.075
265.337,8.4,2,0.075
265.687,8.4,2,0.075
266.035,8.39,2,0.075
266.412,8.39,2,0.075
266.76,8.39,2,0.075
267.11,8.4,2,0.075
267.459,8.39,2,0.075
267.833,8.39,2,0.075
268.183,8.39,2,0.075
268.532,8.39,2,0.075
268.882,8.39,2,0.075
269.229,8.38,2,0.075
269.58,8.38,2,0.075
269.955,8.38,2,0.075
270.304,8.38,2,0.075
270.653,8.37,2,0.075
271.003,8.37,2,0.075
271.352,8.37,2,0.075
271.712,8.38,2,0.075
272.068,8.38,2,0.075
272.426,8.37,2,0.075
272.776,8.37,2,0.075
273.125,8.37,2,0.075
273.476,8.37,2,0.075
273.851,8.37,2,0.075
274.2,8.37,2,0.075
274.549,8.37,2,0.074
274.898,8.38,2,0.075
275.248,8.37,2,0.075
275.622,8.37,2,0.075
275.972,8.37,2,0.075
276.32,8.37,2,0.074
276.671,8.37,2,0.075
277.019,8.37,2,0.074
277.395,8.37,2,0.075
277.745,8.37,2,0.075
278.093,8.37,2,0.074
278.443,8.37,2,0.075
278.791,8.36,2,0.074
279.167,8.35,2,0.074
279.516,8.35,2,0.074
279.865,8.35,2,0.074
280.214,8.33,2,0.074
280.564,8.34,2,0.074
280.94,8.33,2,0.074
281.289,8.33,2,0.074
281.639,8.32,2,0.074
281.988,8.32,2,0.074
282.338,8.33,2,0.074
282.686,8.33,2,0.074
283.063,8.33,2,0.074
283.412,8.32,2,0.074
283.76,8.32,2,0.074
284.128,8.32,2,0.074
284.512,8.32,2,0.074
284.862,8.32,2,0.074
285.211,8.32,2,0.074
285.56,8.33,2,0.074
285.909,8.31,2,0.074
286.287,8.31,2,0.074
286.635,8.29,2,0.074
286.984,8.31,2,0.074
287.332,8.29,2,0.074
287.683,8.3,2,0.074
288.058,8.31,2,0.074
288.409,8.3,2,0.074
288.758,8.29,2,0.074
289.107,8.29,2,0.074
289.456,8.31,2,0.074
289.83,8.3,2,0.074
290.181,8.31,2,0.074
290.528,8.29,2,0.074
290.879,8.29,2,0.074
291.228,8.29,2,0.074
291.603,8.29,2,0.074
291.953,8.29,2,0.074
292.302,8.29,2,0.074
292.651,8.29,2,0.074
293,8.29,2,0.074
293.376,8.29,2,0.074
293.724,8.28,2,0.074
294.073,8.28,2,0.074
294.423,8.28,2,0.074
294.772,8.28,2,0.074
295.149,8.28,2,0.074
295.497,8.29,2,0.074
295.848,8.28,2,0.074
296.196,8.28,2,0.074
296.546,8.28,2,0.074
296.894,8.28,2,0.074
297.27,8.28,2,0.074
297.619,8.28,2,0.074
297.969,8.28,2,0.074
298.317,8.28,2,0.074
298.667,8.28,2,0.074
299.044,8.28,2,0.074
299.391,8.29,2,0.074
299.742,8.28,2,0.074
300.09,8.28,2,0.074
300.44,8.28,2,0.074
